第一闭环核验执行队列ID,来源第一闭环页列包,来源第一闭环复核公开账本,来源第一闭环任务复核公开账本,来源第一闭环私有预填公开审计,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,执行优先级说明,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,第一闭环私有预填公开审计ID,来源页码,版面列,页码版面键,第一闭环页列优先级,页列总任务数,自动官网辅证任务数,P0人工字段任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,专业计划数字段任务数,再选科目字段任务数,学费字段任务数,高校辅证线索任务数,含高校计划数线索任务数,含高校学费线索任务数,含高校选科线索任务数,公共高校来源文件任务数,公共高校来源文件数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,任务级人工动作桶摘要,页列首要核验动作,私有复核页列CSV证据编号,私有复核页列CSV_SHA256,私有复核页列HTML证据编号,私有复核页列HTML_SHA256,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,第一闭环PDF原页完成任务数,第一闭环湖北官方完成任务数,第一闭环高校辅证完成任务数,第一闭环字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,完成条件,当前阻断原因,字段事实写回状态,公开安全策略,下一步
FIRSTEXEC-2fe31f8f7c0833de,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务10条，双人复核10条,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPREFILLAUDIT-49426baa76375e44,135,left,135-left,Q0-冲突页列第一批先核,10,10,0,10,10,10,10,0,0,0,10,10,10,0,10,1,10,0,0,0,0,0,先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:10,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-135-left-csv,3749a224b2d361f77757e776c625bc6688aab2940536d9471d3902ed66198374,first-closure-135-left-html,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,FIRST-CLOSURE-PREFILL-CSV-135-left,c9598f4afda01829b7ba86bb9ddedea6ac69b946574de74e48a56f6542c7b7be,0,0,0,0,false,false,PDF原页记录完成=10；湖北官方侧记录完成=10或记录官方系统不可得状态；高校辅证记录完成=10；双人复核完成=10；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-f236d4d82a7316c1,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,2,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务5条，双人复核4条,FIRSTPAGE-97ab0abc16a6bf85,FIRSTREVIEW-97ab0abc16a6bf85,FIRSTPREFILLAUDIT-97ab0abc16a6bf85,199,left,199-left,Q0-冲突页列第一批先核,5,4,1,5,5,5,4,0,0,1,3,3,3,3,3,1,3,0,1,0,0,1,先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:3；先确认专业名和限定词归属，再决定是否继续核字段:1；按高校辅证线索核PDF原页、湖北官方侧和学费一致性:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-199-left-csv,ba674bdd41297d68a49abd28a56f76e55b8864c5cbafbbc0534e5b53c281c715,first-closure-199-left-html,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,FIRST-CLOSURE-PREFILL-CSV-199-left,2f67879e1536dce882c985ada5a4ed921e6b4fd64a93b9be6e5637683e730d8d,0,0,0,0,false,false,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-5b77311f3134fdd6,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,3,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务13条，双人复核4条,FIRSTPAGE-e942d34407576c0d,FIRSTREVIEW-e942d34407576c0d,FIRSTPREFILLAUDIT-e942d34407576c0d,209,right,209-right,Q0-冲突页列第一批先核,13,9,4,13,13,13,4,4,0,0,6,6,6,6,6,1,2,4,3,0,0,4,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:8；先确认专业名和限定词归属，再决定是否继续核字段:3；先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:2,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-209-right-csv,d7b17679040dde852a21d99e6832761c22ba853179cac937c841d37b330b5ea6,first-closure-209-right-html,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,FIRST-CLOSURE-PREFILL-CSV-209-right,a0ceacbb8bef5ab50f4cd39ef0e7c8a20c60cbb84d162a24eb510c1111368627,0,0,0,0,false,false,PDF原页记录完成=13；湖北官方侧记录完成=13或记录官方系统不可得状态；高校辅证记录完成=13；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-670dd8fd3630cdb9,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,4,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务22条，双人复核10条,FIRSTPAGE-815b76bed7962001,FIRSTREVIEW-815b76bed7962001,FIRSTPREFILLAUDIT-815b76bed7962001,169,right,169-right,Q0-冲突页列第一批先核,22,12,10,22,22,22,10,10,0,0,11,11,0,0,11,1,1,10,1,0,0,10,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:20；先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:1；先确认专业名和限定词归属，再决定是否继续核字段:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-169-right-csv,8d2e621c1b192890a6ee204ea288ca2f979404c32a58ac367530244a088095f1,first-closure-169-right-html,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,FIRST-CLOSURE-PREFILL-CSV-169-right,314f83d61d5fc3f31c52bf73d9615b1dcbb4f33763957ced77da4005e7dafa0a,0,0,0,0,false,false,PDF原页记录完成=22；湖北官方侧记录完成=22或记录官方系统不可得状态；高校辅证记录完成=22；双人复核完成=10；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-9d09fa448802d3c6,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,5,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务17条，双人复核4条,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,FIRSTPREFILLAUDIT-ffc90431edf15154,18,left,018-left,Q0-冲突页列第一批先核,17,9,8,17,17,17,4,8,0,0,9,9,9,9,9,1,1,8,0,0,0,8,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:16；先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,FIRST-CLOSURE-PREFILL-CSV-018-left,f60b24c5cfbf28ec763019dca8f97abb7b88d84137fe113dc73fb764c673b2ce,0,0,0,0,false,false,PDF原页记录完成=17；湖北官方侧记录完成=17或记录官方系统不可得状态；高校辅证记录完成=17；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-39cfc7bcbd00517f,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,6,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务5条，双人复核3条,FIRSTPAGE-f58ca9d1af902d1a,FIRSTREVIEW-f58ca9d1af902d1a,FIRSTPREFILLAUDIT-f58ca9d1af902d1a,37,left,037-left,Q0-冲突页列第一批先核,5,3,2,5,5,5,3,0,2,0,1,1,1,1,1,1,1,0,2,0,0,2,先确认专业名和限定词归属，再决定是否继续核字段:2；按高校辅证线索核PDF原页、湖北官方侧和再选科目一致性:2；先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-037-left-csv,45764205a4d1dca12cc954cf6ef874a8854e8fd28dea0d7dc448d3a45d6b5ae9,first-closure-037-left-html,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,FIRST-CLOSURE-PREFILL-CSV-037-left,d56f3c34709c73abbbf374fb4935243ecca82d927f7f30e429297a47e700a2a3,0,0,0,0,false,false,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=3；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-802cdb191c00122c,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,7,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务7条，双人复核7条,FIRSTPAGE-0f2775b71610686e,FIRSTREVIEW-0f2775b71610686e,FIRSTPREFILLAUDIT-0f2775b71610686e,194,left,194-left,Q0-冲突页列第一批先核,7,0,7,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,6,1,0,双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:6；重点核专业计划数是否误读为学费或串列，并核湖北官方侧:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-194-left-csv,0646856acb8b004c45b556286bf09d98ae809e203be99423b2a36a04e91ea5bc,first-closure-194-left-html,e7781154fae6bbe5b553661aabda3ec74ea6fc082340725f62fa7a33cd26ea0a,FIRST-CLOSURE-PREFILL-CSV-194-left,e2b3f4038a004a36e3858b11508e5e117f2e8de209d3c88ed1f25f0e34411581,0,0,0,0,false,false,PDF原页记录完成=7；湖北官方侧记录完成=7或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=7；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-49dfd962eacfb463,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,8,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务16条，双人复核3条,FIRSTPAGE-4c0f16a37d308b85,FIRSTREVIEW-4c0f16a37d308b85,FIRSTPREFILLAUDIT-4c0f16a37d308b85,56,left,056-left,Q0-冲突页列第一批先核,16,8,8,16,16,15,3,8,0,0,7,7,0,7,7,1,0,7,1,1,1,6,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选:14；先确认专业名和限定词归属，再决定是否继续核字段:1；重点核专业计划数是否误读为学费或串列，并核湖北官方侧:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-056-left-csv,44c5a7bde2f4747e5e502a3aced01d4d98962055d18f710326d2109d07a5b276,first-closure-056-left-html,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,FIRST-CLOSURE-PREFILL-CSV-056-left,49d602ea1074d2a7df2e210e2b379385b7d067119257d3ac5cc9807fe97fc581,0,0,0,0,false,false,PDF原页记录完成=16；湖北官方侧记录完成=16或记录官方系统不可得状态；高校辅证记录完成=15；双人复核完成=3；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-e6bb7a68cf2f9948,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,9,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务2条，双人复核1条,FIRSTPAGE-65f75a1a3c92b9b3,FIRSTREVIEW-65f75a1a3c92b9b3,FIRSTPREFILLAUDIT-65f75a1a3c92b9b3,70,left,070-left,Q0-冲突页列第一批先核,2,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,先确认专业名和限定词归属，再决定是否继续核字段:1；双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-070-left-csv,5e6958633b34cb554a66725b4c143b040b5496cda7f4d9da48fd12aa03b028b3,first-closure-070-left-html,4e695efc8e6e2c3d441771c8eb054c45d2a78fa1913d9cf1e8762b28e0659a07,FIRST-CLOSURE-PREFILL-CSV-070-left,a7bfd81f00b00ade5f3d18dcd5e0b6d246dfdc7f71a025adf8fb17429a04faf8,0,0,0,0,false,false,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
FIRSTEXEC-5204e3839b5946b3,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_execution_queue,PDF页码×版面列,PDF页码×版面列×第一闭环核验执行队列,false,false,false,false,false,false,false,false,10,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核；E0-冲突异常双人优先核验；任务1条，双人复核1条,FIRSTPAGE-150f6369ef9f31d4,FIRSTREVIEW-150f6369ef9f31d4,FIRSTPREFILLAUDIT-150f6369ef9f31d4,23,left,023-left,Q0-冲突页列第一批先核,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,双人核PDF原页与湖北官方侧的专业计划数，确认异常来源:1,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,first-closure-023-left-csv,81dee0189d85627cfc98a950fd90f8b55d488a762fa8d4878be5f26d18d740b1,first-closure-023-left-html,fd354007552335ea321c72cf896934c89026a153bd83568a4a44aa90223ae20c,FIRST-CLOSURE-PREFILL-CSV-023-left,f46acffa08f42d8041a57bd3a8f7030fb6e873f36b9deac5d0b21d55193b75f6,0,0,0,0,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列执行顺序、任务计数、证据编号、SHA和门禁；不公开候选值、私有记录值、识别正文或私有路径,按执行顺序在私有核页材料中完成PDF原页、湖北官方侧、高校辅证和双人复核记录，再同步公开进度
