第一闭环事实范围缺口公开账本ID,来源第一闭环字段事实公开账本,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步动作汇总,来源第一闭环证据状态账本,来源第一闭环页列证据汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,事实序号,事实域,事实类型,事实粒度,事实闭环状态,稳定基座第一闭环明细任务ID,第一闭环字段事实公开账本ID,第一闭环下一步动作ID,第一闭环页列下一步动作ID,第一闭环证据状态公开账本ID,第一闭环页列证据状态汇总ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,页列主阻断,事实缺口桶,PDF原页记录状态,湖北官方侧记录状态,高校辅证记录状态,双人复核状态,三方一致性状态,人工最小核验动作,完成条件,涉及任务数,涉及专业行数,涉及院校代码数,事实对象集合SHA256,页列任务集合SHA256,专业行集合SHA256,院校代码集合SHA256,是否字段事实,是否专业名归属事实,是否专业组边界事实,是否需要人工看图,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
FIRSTSCOPE-8ab312cd14027fc8,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,1,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFACT-f029e715a7cc7f9b,FIRSTNEXT-6cbf5cf7011e48e0,,FIRSTEVID-d179d110c18dff80,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,7a20d7e88bf18af92a5aa7e1681845a1ab54a4b8b8cad214e3e0ad54fc487f43,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-18753b9ad3a0efe8,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,2,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFACT-dbc499dac580df72,FIRSTNEXT-6cbf5cf7011e48e0,,FIRSTEVID-d179d110c18dff80,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,b937f5968a6eb98ffaa9c2f612ed2d9892f3e273894be2ef9c888bc7aba5c2f9,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-e4964e5da2943b52,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,3,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFACT-bf41213f26357d30,FIRSTNEXT-7aac2e9e65a79119,,FIRSTEVID-eaa3f97fa85c1513,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,43a28c46d6ae20849aece20878f5ea1c9ce53d800c30a4ea10781d91d53ddcc1,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-cdf2408a919e944a,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,4,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFACT-e28afb3b5a592aff,FIRSTNEXT-7aac2e9e65a79119,,FIRSTEVID-eaa3f97fa85c1513,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,0782bcd543a835c6d76c99c7aaa65298f28deddbb03b49dfcc11e909df7780d1,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-8f0a5623d7488bf8,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,5,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-202127380ebfe86a,FIRSTFACT-ad0e20aac0166fee,FIRSTNEXT-16547bc2e7189a71,,FIRSTEVID-c73dc66134b4ce8f,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,221d7feb6acf4f81d75804a6ab710ff0434967a6566bb27095b4fd2953ec41db,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-b54035da4c9cb0c3,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,6,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-202127380ebfe86a,FIRSTFACT-a23dec25aaab8698,FIRSTNEXT-16547bc2e7189a71,,FIRSTEVID-c73dc66134b4ce8f,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,c18a69b6eed6f97b4da8ae754e7b77835695342a2973e51372db4ae11fac44b5,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-474aa99203156821,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,7,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFACT-3464f438b32a27ef,FIRSTNEXT-dd3935e1aa37e2f1,,FIRSTEVID-969d2aacf582987f,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,e992ed36b90aceef1de4cdd7d9284e5bb3048fe2e7be1ead20702a311fabca46,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-e421b5e74982f10d,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,8,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFACT-2605da34f44b68d8,FIRSTNEXT-dd3935e1aa37e2f1,,FIRSTEVID-969d2aacf582987f,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,cbdcb049abfa5e96ac049000902e3b6034ba6fdd86d848301172afe605ff5900,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-7318dcdb8cb04b0f,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,9,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-726fddd63013332a,FIRSTFACT-6f3131a4f2572718,FIRSTNEXT-10f1f33a05b7108b,,FIRSTEVID-17d4952cc242c3fb,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,b65eefa9b406d387520712770943f4b3503f0be4683e7165c48cec779b12f74b,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTSCOPE-19bf840a793e0d77,data/working/issue19-stable-foundation-first-closure-field-fact-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_scope_gap_public_ledger,第一闭环事实范围缺口,第一闭环任务×字段,false,false,false,false,false,false,false,false,10,字段事实,字段事实-学费,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-726fddd63013332a,FIRSTFACT-e464c6d5d469f51a,FIRSTNEXT-10f1f33a05b7108b,,FIRSTEVID-17d4952cc242c3fb,,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_double_review,pending_private_three_way_field_confirmation,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,PDF原页、湖北官方侧、必要高校辅证和双人复核均闭环后，才可评估字段写回。,1,1,1,578aeed43aadbd3ce00cad6ac1baa4309cbb16367ceb9e162d76e8bab3a5a5e4,,,,true,false,false,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,公开层只保存ID、页列、状态桶、计数和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
