第一闭环事实核验包明细ID,第一闭环事实核验包ID,来源第一闭环事实范围缺口账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,包内事实序号,核验包序号,核验波次,核验泳道,第一闭环事实范围缺口公开账本ID,事实域,事实类型,事实粒度,事实闭环状态,稳定基座第一闭环明细任务ID,第一闭环字段事实公开账本ID,第一闭环下一步动作ID,第一闭环证据状态公开账本ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,核验动作层级,页列主阻断,事实缺口桶,是否需要人工看图,是否需要双人复核,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实对象集合SHA256,公开安全策略
FIRSTFACTITEM-bb1d7930f717b364,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,1,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-ae07c875846b53ae,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,F0-待原页与湖北官方侧闭环,,,,,FIRSTPAGE-49426baa76375e44,135,left,135-left,,,,,,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突×10,B0-PDFOCR与高校辅证冲突,G2-专业组边界待闭环,false,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,f5cb4682a2f2345327a5ef5556ff7d116ffe8d7460210026e579f0d06dcd70f8,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-07770734c6a6256c,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,2,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-474aa99203156821,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFACT-3464f438b32a27ef,FIRSTNEXT-dd3935e1aa37e2f1,FIRSTEVID-969d2aacf582987f,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,e992ed36b90aceef1de4cdd7d9284e5bb3048fe2e7be1ead20702a311fabca46,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-e4b767b0fe32ff4f,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,3,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-4c83bf09deca4cca,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-9008da4b792e2d9c,FIRSTFACT-7ec9b4ddb7b1a37d,FIRSTNEXT-a76815064ca4265b,FIRSTEVID-2de3ad7f20dcb930,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,ae07497af2d87a5da832179352b17a0ec86e08e5a6da0346fa29a50bf8ff28e3,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-566fb0f6ffad7515,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,4,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-5041b716ac6906b8,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-98835066fcfb9b8c,FIRSTFACT-52c25588f157bbec,FIRSTNEXT-74af63130dcdbbd9,FIRSTEVID-995d2753611bae90,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,dc04f1d97e64afcd8394b91c0bf182f9107c7039e5add080a0ac911093cae820,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-cad906e525222c54,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,5,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-60cb4958ec90cb93,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-d3b4542d9cf04623,FIRSTFACT-5d1818dc3669f204,FIRSTNEXT-d63b97f3198ab49c,FIRSTEVID-12b3553793666167,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-e61c577465bca697,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,21af48bedc6188444f495ce5d141ad30e10e3c677b07a19fbdee4b5a248cdfad,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-61444f9ef234dab0,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,6,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-7318dcdb8cb04b0f,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-726fddd63013332a,FIRSTFACT-6f3131a4f2572718,FIRSTNEXT-10f1f33a05b7108b,FIRSTEVID-17d4952cc242c3fb,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b65eefa9b406d387520712770943f4b3503f0be4683e7165c48cec779b12f74b,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-a577c3254bb60b7e,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,7,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-8ab312cd14027fc8,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFACT-f029e715a7cc7f9b,FIRSTNEXT-6cbf5cf7011e48e0,FIRSTEVID-d179d110c18dff80,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7a20d7e88bf18af92a5aa7e1681845a1ab54a4b8b8cad214e3e0ad54fc487f43,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-8ae695b33c38c876,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,8,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-8f0a5623d7488bf8,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-202127380ebfe86a,FIRSTFACT-ad0e20aac0166fee,FIRSTNEXT-16547bc2e7189a71,FIRSTEVID-c73dc66134b4ce8f,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,221d7feb6acf4f81d75804a6ab710ff0434967a6566bb27095b4fd2953ec41db,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-f574ef69a565696b,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,9,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-ba2400c007be00aa,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-c38ee9bcbc39ce19,FIRSTFACT-4b504c4890acee9b,FIRSTNEXT-7d1243d0e1d34b96,FIRSTEVID-75ee528fb6141ddf,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b4a504b264cee847c0a414042bb2c73eb27ee245d06bde715e46331cc69b2d58,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
FIRSTFACTITEM-75464bd7cb1e5cb3,FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets_items,第一闭环页列事实核验包明细,核验包×事实范围,false,false,false,false,false,false,false,false,10,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTSCOPE-e4964e5da2943b52,字段事实,字段事实-专业计划数,第一闭环任务×字段,F0-待原页与湖北官方侧闭环,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFACT-bf41213f26357d30,FIRSTNEXT-7aac2e9e65a79119,FIRSTEVID-eaa3f97fa85c1513,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,E0-冲突异常双人优先核验,N0-先双人核PDF原页冲突,B0-PDFOCR与高校辅证冲突,G0-关键字段待闭环,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,43a28c46d6ae20849aece20878f5ea1c9ce53d800c30a4ea10781d91d53ddcc1,公开层只保存事实范围ID、页列、状态桶和SHA；不保存字段明细值、识别正文或私有材料。
