第一闭环事实核验包ID,来源第一闭环事实范围缺口账本,来源第一闭环下一步动作矩阵,来源第一闭环页列下一步动作汇总,来源第一闭环公开证据地图,来源第一闭环页列证据汇总,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,核验包序号,核验波次,核验泳道,稳定基座第一闭环页列包ID,第一闭环页列下一步动作ID,第一闭环公开证据地图ID,第一闭环页列证据状态汇总ID,来源页码,版面列,页码版面键,页列主阻断,执行泳道,页列优先级,事实范围总数,字段事实数,专业名归属事实数,专业组边界事实数,专业计划数字段事实数,学费字段事实数,再选科目字段事实数,待人工判定字段事实数,第一闭环任务数,涉及专业行数,涉及院校代码数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,高校辅证线索任务数,PDFOCR与高校辅证冲突任务数,需要人工直接看图任务数,需要双人复核任务数,事实需人工看图数,事实需双人复核数,事实缺口桶分布,事实类型分布,核验动作层级分布,高校源可用性分布,页列建议下一步动作,人工最小核验动作,包完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实范围集合SHA256,任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,公开安全策略
FIRSTFACTPKT-9c88dcbc51a822a9,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,1,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-49426baa76375e44,FIRSTNEXTPAGE-0294cce673918d4e,FIRSTEVIDMAP-f071cc651db21446,FIRSTEVIDPAGE-49426baa76375e44,135,left,135-left,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,22,21,0,1,10,10,1,0,10,10,1,10,0,0,0,0,0,10,0,0,10,10,10,10,21,22,G0-关键字段待闭环×21；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,N0-先双人核PDF原页冲突×10,S3-同校已有结构化或diff线索可作核页提示×10,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,cd2fed95ef068cddb5d27c974f161073cbd32e3fc36a2dedae5a17b936f33fd4,4b5c932e832ca2fe7f73f9584f762a069815335ffa3b16cfb598198371835a2e,eeafb1981fa3e20da36bdc4a5f252863da325cf884688931e35c820c2d2b0a2c,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-16271aabfef3c237,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,2,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-815b76bed7962001,FIRSTNEXTPAGE-ac4e3431d8bb3dbc,FIRSTEVIDMAP-ed0b7025f8fac3fd,FIRSTEVIDPAGE-815b76bed7962001,169,right,169-right,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,37,35,1,1,22,12,1,0,22,12,1,1,10,0,10,1,0,12,10,0,11,1,11,10,13,12,G0-关键字段待闭环×35；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×22；字段事实-再选科目×1；字段事实-学费×12,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×10；N3-无稳定候选人工看图×10；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×22,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,04920d56e168fcbb666d8cdef9bea50b5f307d949424ee96004e58afa4572a83,f450896d976d918f8dd26dae7d9f911e2a655c04cb5125c964791dc8dcd6fd12,5d69476fa4cd2520a75edf117338db24f33c11a87bc1475ae8b10025d307e59f,e33aa8070796cc4b9dd5ca24c3f40daed60041349ce399df1fd6c0204935232e,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-a8595b3479f39c4a,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,3,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-97ab0abc16a6bf85,FIRSTNEXTPAGE-00984a4831054c53,FIRSTEVIDMAP-af53cd122eb2e5e7,FIRSTEVIDPAGE-97ab0abc16a6bf85,199,left,199-left,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,13,11,1,1,4,4,3,0,5,5,1,3,0,1,0,1,0,4,1,1,3,3,3,4,9,11,G0-关键字段待闭环×11；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×3；字段事实-学费×4,N0-先双人核PDF原页冲突×3；N2-机器坐标辅助核PDF原页×1；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×5,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,d22603077600b50f977bd71713436d308d1a74360440afcc019396c6d28f1717,35d5e9e75dc9c4b65e994bc737e4729e4a27494ca0a2c30d83e220de5384edc5,6f1f70c7ae43e060a6b180a31fae224a0f64322f13a9f44d92afab5f643854b1,fb61c7c1175189cf58cff97de9b41e013e6e9e75552b765dfb96eaed28d98fb2,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-e2d200cdee3c5432,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,4,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-e942d34407576c0d,FIRSTNEXTPAGE-e2a4b7cfc5e9f0ce,FIRSTEVIDMAP-d4f202845786f7d3,FIRSTEVIDPAGE-e942d34407576c0d,209,right,209-right,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,31,27,3,1,12,9,6,0,13,9,1,2,0,0,4,3,4,9,4,0,6,2,6,4,11,9,G0-关键字段待闭环×27；G1-专业名归属待闭环×3；G2-专业组边界待闭环×1,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×12；字段事实-再选科目×6；字段事实-学费×9,N0-先双人核PDF原页冲突×2；N3-无稳定候选人工看图×4；N4-PDFOCR候选人工确认×3；N5-多源一致仍待湖北官方侧×4,S3-同校已有结构化或diff线索可作核页提示×13,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,3ebfc21cc5ce06190460477c3b4bce03f622bdd767028b6a182f40cc6f66de47,2b6dac3f008ab633cdfa66e0acc495bf59d0751acaec7bdf3b3f13d436a6f124,abdc89ef9906387836de93fc0ff0e01153e85161c4192304d5a80ed860bc45b2,a764f5f65a6087318b7cd803b3ba6031396dbfd8f159dff51db918673d6f8d32,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-6351d2a96a11cecc,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,5,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-ffc90431edf15154,FIRSTNEXTPAGE-92f636727c1568ae,FIRSTEVIDMAP-7792a759f047fb13,FIRSTEVIDPAGE-ffc90431edf15154,18,left,018-left,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,36,35,0,1,17,9,9,0,17,9,1,4,0,5,3,0,5,9,8,5,9,4,7,4,16,7,G0-关键字段待闭环×35；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×17；字段事实-再选科目×9；字段事实-学费×9,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,S3-同校已有结构化或diff线索可作核页提示×17,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,e347cb33aeff68821ae3ceda3d2d59230c34f6928e4cd903e9931b082298b0ec,6d0475e597528d7a1d0d8b5a7a8e2587cdeabbf8d7916ed1176783f54788b114,ae12d7b637e9b866798453aff9e6d1ce0a2a20536ef07ad6f43a4516effb82f8,840bc543dcc720ba7260a5dd8cf53ab2655bc93eb4be06b0c21b06cf4a609e42,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-dbd850cebb941f23,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,6,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-b55961124bc8610b,FIRSTNEXTPAGE-31c602d7daf5c772,FIRSTEVIDMAP-215ed14459b7fc41,FIRSTEVIDPAGE-b55961124bc8610b,226,left,226-left,B0-PDFOCR与高校辅证冲突,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,80,78,1,1,38,20,20,0,39,20,2,1,18,13,6,1,0,20,19,13,19,1,7,5,10,6,G0-关键字段待闭环×78；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×38；字段事实-再选科目×20；字段事实-学费×20,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×18；N2-机器坐标辅助核PDF原页×13；N3-无稳定候选人工看图×6；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×39,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b569f2c7bcae059d311f80ddb5fe229c4feaf9943ce95aa6b39f9da64b1c3191,00ee5b0b21524c73891372cdee1136f5466ddf7c6e401770c6231f2331f423a6,979a35ea62021076db7dcb3811a0b072c8345de792d1ce4141210e5e6555f11d,d1c755ba46cca36ff05919b6a6215a241e3abdfa05f2c2a50185f4b361c3942f,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-f6b8c835e1a0b567,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,7,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-f58ca9d1af902d1a,FIRSTNEXTPAGE-90ed98cf234bcd4c,FIRSTEVIDMAP-39bb4c8e429499a0,FIRSTEVIDPAGE-f58ca9d1af902d1a,37,left,037-left,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,11,8,2,1,3,2,3,0,5,5,1,1,0,0,2,2,0,3,2,0,1,1,3,3,6,6,G0-关键字段待闭环×8；G1-专业名归属待闭环×2；G2-专业组边界待闭环×1,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×2,N0-先双人核PDF原页冲突×1；N3-无稳定候选人工看图×2；N4-PDFOCR候选人工确认×2,S3-同校已有结构化或diff线索可作核页提示×5,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,91ebc8297773e934cf112a9408a44af71a7a8e03a65ab59805c2d345a8b7a111,dd4dc3738d81ee7a2d5b7f7ad06559e3d4b9b693c339cdd368f780d1e751a49e,671b6d45c15cb61d83bcf0faf9a071b6573476708fb9df5132bb6ab407ce3dee,acbf576b6b2a67d79cd21bd54556e64a32e9d6281b673929b0d3c1bc08ff8b8f,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-8e0dde71b1a19b4a,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,8,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-4c0f16a37d308b85,FIRSTNEXTPAGE-1ed8c3e6b96ccca7,FIRSTEVIDMAP-b97adfb465a2362e,FIRSTEVIDPAGE-4c0f16a37d308b85,56,left,056-left,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,32,30,1,1,15,8,7,0,16,9,2,1,6,5,3,1,0,8,8,5,7,1,4,3,7,4,G0-关键字段待闭环×30；G1-专业名归属待闭环×1；G2-专业组边界待闭环×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×15；字段事实-再选科目×7；字段事实-学费×8,N0-先双人核PDF原页冲突×1；N1-高校补缺线索回PDF原页×6；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×15；SNA-同校不在80条高校源任务内×1,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,3eb8ab3402fb770d165dbb4c9e1e78df0dc159b8c6ef130ce282b885061fa4d2,ba8efc01022de607e76d9f31c36a45bf931aa2b68e730f610422eb6fcba1f59c,a167e8a939199069e5d821392394ad05c8c3eb25ae99e8d4486ba5489889a021,e171c52ec8cc8e006c362f106376a31be57a403267d33762c9e611d67bd70fa6,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-ee1aa9b38bede149,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,9,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-7826a50352856b5d,FIRSTNEXTPAGE-32ccaa96b503af88,FIRSTEVIDMAP-c8b7e1504778b9e7,FIRSTEVIDPAGE-7826a50352856b5d,137,right,137-right,B0-PDFOCR与高校辅证冲突,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,4,3,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,3,4,G0-关键字段待闭环×3；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,N0-先双人核PDF原页冲突×1,S3-同校已有结构化或diff线索可作核页提示×1,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,3f02c99841249e8765351200215889fb504e72fc93f0d8585e6a7c4050b80922,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,67c655f4d9411562d337ba21d09744cc61ba35531af164f1d55457d94b6e7926,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
FIRSTFACTPKT-db4af8fdf1598b65,data/working/issue19-stable-foundation-first-closure-fact-scope-gap-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-next-action-page-summary.csv,data/working/issue19-stable-foundation-first-closure-public-evidence-map.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_fact_verification_packets,第一闭环页列事实核验包,PDF页码×版面列×事实范围核验包,false,false,false,false,false,false,false,false,10,W0-B0冲突优先,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,FIRSTPAGE-ed94df7696953cc5,FIRSTNEXTPAGE-fe6a75ada40af769,FIRSTEVIDMAP-1d63519c6f7a6140,FIRSTEVIDPAGE-ed94df7696953cc5,226,right,226-right,B0-PDFOCR与高校辅证冲突,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,9,8,0,1,4,2,2,0,4,2,1,2,0,0,2,0,0,2,2,0,2,2,4,2,9,3,G0-关键字段待闭环×8；G2-专业组边界待闭环×1,专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×2；字段事实-学费×2,N0-先双人核PDF原页冲突×2；N3-无稳定候选人工看图×2,S3-同校已有结构化或diff线索可作核页提示×4,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,先双人核PDF原页冲突，再核湖北官方侧和高校辅证差异。,包内事实逐项完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍需保持非自动写回，等待最终候选闭环。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7466580fba2e40a65d819469b05f51b98f916afb09b192cd2b3b242997dd3ebd,03906792757ef5d9538a69d0ced9b1886ee353fef8ac46edd5fdc9153e914481,32b2095c6859d7c91375c78850d761f2e1efcb85848649166e54811be1470e6b,640082c04be96da904cedb13db707da524ede4ecbf44d14eeed3eda023501f40,公开层只保存页列、计数、状态桶、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
