第一闭环字段确认公开账本ID,来源第一闭环任务复核公开账本,来源第一闭环PDFOCR候选公开审计,来源第一闭环机器坐标候选公开审计,来源第一闭环页列候选看板,来源私有字段确认工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,字段确认公开账本总序,第一闭环执行顺序,执行泳道,第一闭环页列优先级,人工核验优先级数值,人工核验泳道,人工核验方式,人工核验动作,必须完成证据步骤,公开升级阻断原因,字段名,字段审计范围,专业行ID,专业组出现ID,院校代码,来源页码,版面列,页码版面键,稳定基座第一闭环明细任务ID,稳定基座第一闭环任务复核公开账本ID,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,第一闭环PDFOCR候选公开审计ID,第一闭环机器坐标候选公开审计ID,第一闭环页列候选看板ID,任务来源类型,PDFOCR提示记录状态,PDFOCR提示审阅桶,PDFOCR与高校辅证关系桶,PDFOCR提示字段数,高校辅证提示字段数,PDFOCR与高校辅证冲突字段数,PDFOCR与高校辅证一致字段数,机器坐标提示记录状态,机器坐标提示审阅桶,机器坐标提示关系桶,机器坐标是否可辅助核页,机器坐标提示字段数,候选提示综合桶,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,PDF原页私有记录状态,湖北官方私有记录状态,高校辅证私有记录状态,双人复核公开状态,三方字段一致性公开状态,字段事实写回评估状态,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,私有字段确认工作台状态,公开安全策略,下一步
FIRSTFCONF-93e57d20f514130b,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,1,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTTASKREVIEW-93e57d20f514130b,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-93e57d20f514130b,FIRSTMCOORD-93e57d20f514130b,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,2,2,1,1,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-bfa8cf8970e7d5f4,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,2,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTTASKREVIEW-bfa8cf8970e7d5f4,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-bfa8cf8970e7d5f4,FIRSTMCOORD-bfa8cf8970e7d5f4,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,2,2,1,1,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-39a5532be91543c7,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,3,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-202127380ebfe86a,FIRSTTASKREVIEW-39a5532be91543c7,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-39a5532be91543c7,FIRSTMCOORD-39a5532be91543c7,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,1,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-26057f4340d64228,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,4,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTTASKREVIEW-26057f4340d64228,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-26057f4340d64228,FIRSTMCOORD-26057f4340d64228,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,1,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-a5608ad06a95aedb,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,5,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-726fddd63013332a,FIRSTTASKREVIEW-a5608ad06a95aedb,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-a5608ad06a95aedb,FIRSTMCOORD-a5608ad06a95aedb,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,2,2,1,1,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-1fb2e173cd94f5bc,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,6,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费；再选科目,专业计划数；学费；再选科目,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-9008da4b792e2d9c,FIRSTTASKREVIEW-1fb2e173cd94f5bc,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-1fb2e173cd94f5bc,FIRSTMCOORD-1fb2e173cd94f5bc,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,2,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-f03797c21840d98b,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,7,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-98835066fcfb9b8c,FIRSTTASKREVIEW-f03797c21840d98b,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-f03797c21840d98b,FIRSTMCOORD-f03797c21840d98b,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,1,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-dbe3431271d8753c,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,8,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-9d2efbd617a42fa2,FIRSTTASKREVIEW-dbe3431271d8753c,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-dbe3431271d8753c,FIRSTMCOORD-dbe3431271d8753c,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,2,2,1,1,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-3712fb406bc29364,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,9,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-c38ee9bcbc39ce19,FIRSTTASKREVIEW-3712fb406bc29364,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-3712fb406bc29364,FIRSTMCOORD-3712fb406bc29364,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,1,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
FIRSTFCONF-4e54ace09d0fdb74,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-page-side-candidate-dashboard.csv,first_closure_field_confirmation_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_field_confirmation_public_ledger,逐专业招生明细×第一闭环任务,逐任务×第一闭环字段确认公开状态,false,false,false,false,false,false,false,false,10,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,F0-PDFOCR与高校辅证冲突双人核页,双人复核,先核PDF原页，再核湖北官方侧，最后对照高校辅证,PDF原页人工核页；湖北官方系统或省招办计划核验；高校官网或招生章程辅证对照；双人复核,PDF原页私有记录未完成；湖北官方私有记录未完成；高校辅证私有记录未完成；双人复核未完成,专业计划数；学费,专业计划数；学费,M-e61c577465bca697,G-158e8a85ddd262f3,F902,135,left,135-left,FIRSTDETAIL-d3b4542d9cf04623,FIRSTTASKREVIEW-4e54ace09d0fdb74,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-4e54ace09d0fdb74,FIRSTMCOORD-4e54ace09d0fdb74,FIRSTPAGECAND-2fe31f8f7c0833de,自动官网辅证任务,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,1,2,1,0,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,0,H0-PDFOCR与高校辅证冲突,true,false,true,true,true,true,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,private_first_closure_field_confirmation_workbench_generated,公开表只保存字段确认状态、证据编号、SHA、关系状态和门禁；不保存字段读数明细、候选明细、识别文本、私有路径、院校名或专业名。,在私有第一闭环字段确认工作台补齐PDF原页、湖北官方系统或省招办计划、高校官网或章程的私有记录；公开账本只同步状态，不同步记录值。
