第一闭环字段事实公开账本ID,来源第一闭环字段确认公开账本,来源第一闭环证据状态账本,来源第一闭环下一步动作矩阵,来源P0Top3字段公开账本,来源B0冲突页列核验状态,来源私有字段确认工作台,来源P0Top3私有字段核验表,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,字段事实序号,稳定基座第一闭环明细任务ID,第一闭环字段确认公开账本ID,第一闭环证据状态公开账本ID,第一闭环下一步动作ID,P0Top3字段公开账本ID,B0冲突页列核验状态ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,字段候选关系桶,PDF提示字段状态,机器坐标字段状态,高校辅证字段状态,冲突类型桶,核验动作层级,人工最小核验动作,PDF原页记录状态,湖北官方记录状态,高校辅证记录状态,双人复核状态,三方一致性状态,字段事实闭环状态,字段写回评估门禁,完成证据组合,字段事实值集合SHA256,私有字段记录状态SHA256,是否P0Top3重点字段,是否B0冲突页列字段,是否需要双人复核,是否需要人工看图,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
FIRSTFACT-f029e715a7cc7f9b,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,1,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFCONF-93e57d20f514130b,FIRSTEVID-d179d110c18dff80,FIRSTNEXT-6cbf5cf7011e48e0,P0TOP3FPUB-73a5cf500c471daa,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,R0-候选冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-字段候选冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-dbc499dac580df72,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTFCONF-93e57d20f514130b,FIRSTEVID-d179d110c18dff80,FIRSTNEXT-6cbf5cf7011e48e0,P0TOP3FPUB-8959e3a82916af3e,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,R1-候选一致,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-bf41213f26357d30,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,3,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFCONF-bfa8cf8970e7d5f4,FIRSTEVID-eaa3f97fa85c1513,FIRSTNEXT-7aac2e9e65a79119,P0TOP3FPUB-7aea8c8b2d9aae46,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,R0-候选冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-字段候选冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-e28afb3b5a592aff,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,4,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTFCONF-bfa8cf8970e7d5f4,FIRSTEVID-eaa3f97fa85c1513,FIRSTNEXT-7aac2e9e65a79119,P0TOP3FPUB-f91af24d26637b02,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,R1-候选一致,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-ad0e20aac0166fee,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,5,FIRSTDETAIL-202127380ebfe86a,FIRSTFCONF-39a5532be91543c7,FIRSTEVID-c73dc66134b4ce8f,FIRSTNEXT-16547bc2e7189a71,P0TOP3FPUB-2f87996a9445be81,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,R0-候选冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-字段候选冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-a23dec25aaab8698,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,6,FIRSTDETAIL-202127380ebfe86a,FIRSTFCONF-39a5532be91543c7,FIRSTEVID-c73dc66134b4ce8f,FIRSTNEXT-16547bc2e7189a71,P0TOP3FPUB-60475da3d37f754d,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,R3-仅高校辅证候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-3464f438b32a27ef,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,7,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFCONF-26057f4340d64228,FIRSTEVID-969d2aacf582987f,FIRSTNEXT-dd3935e1aa37e2f1,P0TOP3FPUB-93ebb4ab05054f00,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,R0-候选冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-字段候选冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-2605da34f44b68d8,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,8,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTFCONF-26057f4340d64228,FIRSTEVID-969d2aacf582987f,FIRSTNEXT-dd3935e1aa37e2f1,P0TOP3FPUB-cad144f8fea4395e,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,R3-仅高校辅证候选,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-6f3131a4f2572718,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,9,FIRSTDETAIL-726fddd63013332a,FIRSTFCONF-a5608ad06a95aedb,FIRSTEVID-17d4952cc242c3fb,FIRSTNEXT-10f1f33a05b7108b,P0TOP3FPUB-6ad107a10ce7cf86,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数,R0-候选冲突,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-字段候选冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
FIRSTFACT-e464c6d5d469f51a,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-p0-top3-field-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,first_closure_field_confirmation_private_workbench_not_public,p0_top3_private_field_review_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_field_fact_public_ledger,第一闭环字段原子,第一闭环任务×字段名×公开闭环状态,false,false,false,false,false,false,false,false,10,FIRSTDETAIL-726fddd63013332a,FIRSTFCONF-a5608ad06a95aedb,FIRSTEVID-17d4952cc242c3fb,FIRSTNEXT-10f1f33a05b7108b,P0TOP3FPUB-1ee546acdc783c5f,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,学费,R1-候选一致,private_pdf_ocr_candidate_seeded,M2-原已有PDFOCR候选不启用机器坐标补候选,pending_private_school_reading,C0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,pending_private_pdf_reading,pending_private_hubei_reading,pending_private_school_reading,pending_double_review,pending_private_three_way_field_confirmation,F0-字段记录未填写,blocked_until_required_private_readings_complete,PDF原页记录待完成；湖北官方侧待完成；高校辅证待完成；双人复核待完成,,7711f2d74aabf91f3ed07bed101260d7ca5e3ec94e303f6eb51985b67fb163dd,true,true,true,true,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存字段名、状态、关系桶、ID和SHA；字段明细值与人工记录只留在私有工作台。
