第一闭环机器坐标候选公开审计ID,来源第一闭环PDFOCR候选公开审计,来源第一闭环PDFOCR候选摘要,来源第一闭环PDFOCR候选私有工作台,来源P0字段机器坐标候选表,来源第一闭环机器坐标候选私有工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,第一闭环执行顺序,执行泳道,第一闭环页列优先级,稳定基座第一闭环明细任务ID,稳定基座第一闭环任务复核公开账本ID,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,第一闭环PDFOCR候选公开审计ID,来源页码,版面列,页码版面键,任务来源类型,字段审计范围,原PDFOCR候选记录状态,原PDFOCR候选审阅桶,原PDFOCR与高校辅证关系桶,机器坐标候选记录状态,机器坐标候选审阅桶,机器坐标候选关系桶,是否原缺PDFOCR,是否机器坐标可补候选,是否从缺PDFOCR提升为机器坐标待核,匹配P0机器坐标记录数,单一机器坐标候选记录数,无机器坐标候选记录数,机器坐标冲突或多值记录数,机器坐标候选字段数,机器坐标候选字段类别,机器坐标候选置信等级,机器坐标候选规则ID,P0字段机器候选任务ID,来源P0字段原页重读任务ID,来源字段事实核验任务ID,页级保真队列ID,专业行原页证据锚点ID,候选证据行号数量,候选证据坐标数量,私有字段明细状态,PDF原页是否必核,湖北官方侧是否必核,高校辅证是否需要复核,是否需要人工直接看图,是否需要双人复核,是否可自动写入私有记录值,机器坐标是否允许自动写回主表,机器坐标是否允许自动回填候选,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,公开安全策略,下一步
FIRSTMCOORD-93e57d20f514130b,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTTASKREVIEW-93e57d20f514130b,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-93e57d20f514130b,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-bfa8cf8970e7d5f4,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTTASKREVIEW-bfa8cf8970e7d5f4,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-bfa8cf8970e7d5f4,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-39a5532be91543c7,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-202127380ebfe86a,FIRSTTASKREVIEW-39a5532be91543c7,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-39a5532be91543c7,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-26057f4340d64228,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTTASKREVIEW-26057f4340d64228,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-26057f4340d64228,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-a5608ad06a95aedb,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-726fddd63013332a,FIRSTTASKREVIEW-a5608ad06a95aedb,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-a5608ad06a95aedb,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-1fb2e173cd94f5bc,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-9008da4b792e2d9c,FIRSTTASKREVIEW-1fb2e173cd94f5bc,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-1fb2e173cd94f5bc,135,left,135-left,自动官网辅证任务,专业计划数；学费；再选科目,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-f03797c21840d98b,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-98835066fcfb9b8c,FIRSTTASKREVIEW-f03797c21840d98b,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-f03797c21840d98b,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-dbe3431271d8753c,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-9d2efbd617a42fa2,FIRSTTASKREVIEW-dbe3431271d8753c,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-dbe3431271d8753c,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-3712fb406bc29364,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-c38ee9bcbc39ce19,FIRSTTASKREVIEW-3712fb406bc29364,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-3712fb406bc29364,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
FIRSTMCOORD-4e54ace09d0fdb74,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-field-fact-p0-reread-machine-candidates.csv,first_closure_machine_coordinate_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_machine_coordinate_candidate_public_audit,逐专业招生明细×第一闭环任务,逐任务×机器坐标候选公开状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTDETAIL-d3b4542d9cf04623,FIRSTTASKREVIEW-4e54ace09d0fdb74,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPDFOCR-4e54ace09d0fdb74,135,left,135-left,自动官网辅证任务,专业计划数；学费,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,false,false,false,0,0,0,0,0,,,,,,,,,0,0,no_private_machine_coordinate_candidate,true,true,true,true,true,false,false,false,pending_manual_pdf_review,pending_hubei_official_review,pending_if_school_clue_present,pending_three_way_closure,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存机器坐标候选存在性、状态桶、计数、证据编号和门禁；不公开字段明细、学校专业明细、识别正文或私有路径,继续按原PDFOCR候选审计状态人工核PDF原页和湖北官方侧
