第一闭环下一步动作ID,来源第一闭环证据状态账本,来源第一闭环页列证据汇总,来源高校源最新证据对齐账本,来源第一闭环64小包,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,动作矩阵序号,稳定基座第一闭环明细任务ID,第一闭环证据状态公开账本ID,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,字段名,执行泳道,第一闭环页列优先级,PDF原页证据状态,OCR提示状态,机器坐标提示状态,高校辅证证据状态,湖北官方侧状态,冲突状态,三方闭环状态,字段写回门禁,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,候选提示综合桶,官网辅证自动动作,官网证据强度,官网来源状态,计划数核验状态,同校高校源任务数,同校高校源最新证据层级集合,同校高校源最高证据层级,同校高校源推进状态集合,同校L3结构化或diff任务数,同校L1入口探针任务数,同校L0无源任务数,同校高校源可用性,同校高校源最新证据SHA16集合,核验动作层级,人工最小核验动作,自动可继续推进动作,页列主阻断,页列建议下一步动作,关联64小包数量,关联64小包类型分布,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
FIRSTNEXT-6cbf5cf7011e48e0,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,1,FIRSTDETAIL-0dada9bf9ecaa6e1,FIRSTEVID-d179d110c18dff80,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-7aac2e9e65a79119,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,2,FIRSTDETAIL-0e930ca33ab1b3b9,FIRSTEVID-eaa3f97fa85c1513,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-16547bc2e7189a71,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,3,FIRSTDETAIL-202127380ebfe86a,FIRSTEVID-c73dc66134b4ce8f,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-dd3935e1aa37e2f1,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,4,FIRSTDETAIL-28da3744d1bbd3b1,FIRSTEVID-969d2aacf582987f,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-10f1f33a05b7108b,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,5,FIRSTDETAIL-726fddd63013332a,FIRSTEVID-17d4952cc242c3fb,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-a76815064ca4265b,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,6,FIRSTDETAIL-9008da4b792e2d9c,FIRSTEVID-2de3ad7f20dcb930,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费；再选科目,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-74af63130dcdbbd9,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,7,FIRSTDETAIL-98835066fcfb9b8c,FIRSTEVID-995d2753611bae90,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-75e16e2dd9d11005,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,8,FIRSTDETAIL-9d2efbd617a42fa2,FIRSTEVID-c68ad5b5f546a31d,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-7d1243d0e1d34b96,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,9,FIRSTDETAIL-c38ee9bcbc39ce19,FIRSTEVID-75ee528fb6141ddf,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXT-d63b97f3198ab49c,data/working/issue19-stable-foundation-first-closure-evidence-status-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix,第一闭环明细任务,逐任务×下一步核验动作×同校高校源状态,false,false,false,false,false,false,false,false,10,FIRSTDETAIL-d3b4542d9cf04623,FIRSTEVID-12b3553793666167,FIRSTPAGE-49426baa76375e44,135,left,135-left,M-e61c577465bca697,G-158e8a85ddd262f3,F902,自动官网辅证任务,专业计划数；学费,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,P0-有冲突线索，PDF原页优先人工核验,O0-PDFOCR与高校辅证冲突,M0-无机器坐标提示,S1-有高校辅证线索或自动官网任务，待私有辅证记录,pending_hubei_official_review,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,true,false,true,true,true,true,H0-PDFOCR与高校辅证冲突,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,mismatch,4,L3-已有湖北物理结构化或候选diff线索,L3-已有湖北物理结构化或候选diff线索,P1-保持原执行泳道；P2-原任务已有高校侧来源继续回页,4,0,0,S3-同校已有结构化或diff线索可作核页提示,0ea58c7176b523bf,N0-先双人核PDF原页冲突,双人回看PDF原页，先判定PDFOCR与高校辅证冲突字段，再核湖北官方侧。,可把同校结构化或diff线索接入核页提示，不允许替代湖北官方计划。,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,P0候选冲突×1,PDF原页、湖北官方侧、必要高校辅证和双人复核记录完成后，仍需人工评估是否可写回。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,只保存公开状态桶、计数、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
