第一闭环页列下一步动作ID,来源第一闭环下一步动作矩阵,来源第一闭环页列证据汇总,来源第一闭环64小包,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列动作序号,稳定基座第一闭环页列包ID,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,涉及专业行数,涉及院校代码数,动作矩阵任务数,N0冲突双人核页任务数,N1高校补缺回页任务数,N2机器坐标辅助核页任务数,N3无候选人工看图任务数,N4PDFOCR候选确认任务数,N5多源一致待官核任务数,PDF原页待核任务数,湖北官方侧待核任务数,高校辅证线索任务数,同校L3结构化或diff任务数,同校L1入口探针任务数,同校L0无源任务数,关联64小包数量,关联64小包类型分布,核验动作层级分布,高校源可用性分布,页列主阻断,页列建议下一步动作,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,字段事实写回状态,公开安全策略
FIRSTNEXTPAGE-80950bd8a48caeb5,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,1,FIRSTPAGE-1d715f85ac144ecb,14,left,014-left,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-92f636727c1568ae,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,2,FIRSTPAGE-ffc90431edf15154,18,left,018-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,17,9,1,17,4,0,5,3,0,5,17,17,9,51,0,0,3,P0候选冲突×1；P1缺候选或需看图×1；P2候选一致但未闭环×1,N0-先双人核PDF原页冲突×4；N2-机器坐标辅助核PDF原页×5；N3-无稳定候选人工看图×3；N5-多源一致仍待湖北官方侧×5,S3-同校已有结构化或diff线索可作核页提示×17,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-42b59058911d1a72,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,3,FIRSTPAGE-150f6369ef9f31d4,23,left,023-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-7421365f0a13961c,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,4,FIRSTPAGE-807f1d9e99948b29,32,right,032-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-2ab88f50e0cb9744,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,5,FIRSTPAGE-9e2f12395b6c066b,33,right,033-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-cd8b57889081d67e,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,6,FIRSTPAGE-71c8a1c59d84716c,36,right,036-right,E2-官网未匹配专业名归属核验,Q2-官网未匹配或高校辅证页列先核,1,1,1,1,0,0,0,0,1,0,1,1,0,4,0,0,1,P3候选需人工确认×1,N4-PDFOCR候选人工确认×1,S3-同校已有结构化或diff线索可作核页提示×1,B3-仅PDFOCR候选待人工确认,按PDFOCR提示逐条核原页；确认后再做湖北官方侧和高校侧闭环。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-90ed98cf234bcd4c,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,7,FIRSTPAGE-f58ca9d1af902d1a,37,left,037-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,5,1,5,1,0,0,2,2,0,5,5,1,20,0,0,3,P0候选冲突×1；P1缺候选或需看图×1；P3候选需人工确认×1,N0-先双人核PDF原页冲突×1；N3-无稳定候选人工看图×2；N4-PDFOCR候选人工确认×2,S3-同校已有结构化或diff线索可作核页提示×5,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-2c72282f51bd6a85,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,8,FIRSTPAGE-38a317f5bf72d0ce,38,right,038-right,E1-计划数补缺或偏大优先核验,Q1-补缺或计划数偏大页列先核,2,2,1,2,0,0,2,0,0,0,2,2,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×2,SNA-同校不在80条高校源任务内×2,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-2084d43d5a33eb89,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,9,FIRSTPAGE-6877343afbe11307,40,right,040-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-f692c7e6f2199038,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,10,FIRSTPAGE-cc413d4ed28b64a8,43,left,043-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
FIRSTNEXTPAGE-f4fbd5d82da338e6,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/exports/issue19-next-closure-family-review-v1-first-closure-action-pack.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_next_action_matrix_page_summary,PDF页码×版面列,页列×下一步核验动作汇总,false,false,false,false,false,false,false,false,11,FIRSTPAGE-b1715d7e0fecab9a,53,right,053-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,P1缺候选或需看图×1,N2-机器坐标辅助核PDF原页×1,SNA-同校不在80条高校源任务内×1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,页列内所有任务完成PDF原页、湖北官方侧、必要高校辅证和双人复核记录后，仍不自动写回。,pending_pdf_page_review,pending_hubei_official_plan_review,blocked_until_pdf_hubei_school_three_way_closure,页列摘要只保存计数、分布、ID和SHA，不保存学校专业明细、字段明细值、识别正文、人工记录或私有路径。
