第一闭环页列候选看板ID,来源第一闭环执行队列,来源第一闭环PDFOCR候选公开审计,来源第一闭环PDFOCR候选摘要,来源第一闭环PDFOCR候选私有工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,执行泳道,第一闭环页列优先级,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,第一闭环私有预填公开审计ID,来源页码,版面列,页码版面键,页列总任务数,PDFOCR候选任务数,无PDFOCR需看图任务数,PDFOCR与高校辅证冲突任务数,PDFOCR与高校辅证一致任务数,仅PDFOCR候选任务数,高校有线索但PDFOCR缺候选任务数,无任何候选需看图任务数,P0候选冲突任务数,P1缺PDFOCR人工看图任务数,P2一致仍需官方闭环任务数,P3有候选需人工确认任务数,PDFOCR候选字段数,高校辅证候选字段数,可比字段数,一致字段数,冲突字段数,缺PDFOCR但有高校线索字段数,PDFOCR计划数候选任务数,PDFOCR学费候选任务数,PDFOCR选科候选任务数,高校计划数线索任务数,高校学费线索任务数,高校选科线索任务数,需要人工直接看图任务数,需要双人复核任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,第一闭环PDF原页完成任务数,第一闭环湖北官方完成任务数,第一闭环高校辅证完成任务数,第一闭环字段事实写回可进入任务数,候选记录状态摘要,候选审阅桶摘要,候选关系桶摘要,页列候选核验动作,PDFOCR候选私有工作台_SHA256,官方公开计划页可定稿,数智平台可定稿,完成条件,当前阻断原因,字段事实写回状态,公开安全策略,下一步
FIRSTPAGECAND-2fe31f8f7c0833de,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,1,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,FIRSTPREFILLAUDIT-49426baa76375e44,135,left,135-left,10,10,0,10,4,0,0,0,10,0,0,0,15,20,14,4,10,6,10,4,1,10,10,0,10,10,10,10,10,0,0,0,0,private_pdf_ocr_candidate_seeded:10,P0-候选冲突优先核PDF原页:10,R0-PDFOCR与高校辅证存在冲突:10,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=10；湖北官方侧记录完成=10或记录官方系统不可得状态；高校辅证记录完成=10；双人复核完成=10；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-f236d4d82a7316c1,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,2,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-97ab0abc16a6bf85,FIRSTREVIEW-97ab0abc16a6bf85,FIRSTPREFILLAUDIT-97ab0abc16a6bf85,199,left,199-left,5,4,1,3,0,1,0,1,3,1,0,1,5,9,4,0,4,5,4,0,1,3,3,3,4,4,5,5,5,0,0,0,0,private_pdf_ocr_candidate_seeded:4；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:1,P0-候选冲突优先核PDF原页:3；P3-有候选但需人工确认:1；P1-缺PDFOCR候选需人工看图:1,R0-PDFOCR与高校辅证存在冲突:3；R3-仅PDFOCR候选待人工核页:1；R5-无候选需人工看图:1,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-5b77311f3134fdd6,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,3,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-e942d34407576c0d,FIRSTREVIEW-e942d34407576c0d,FIRSTPREFILLAUDIT-e942d34407576c0d,209,right,209-right,13,9,4,2,6,3,0,4,2,4,4,3,13,18,8,6,2,10,4,9,0,6,6,6,6,4,13,13,13,0,0,0,0,private_pdf_ocr_candidate_seeded:9；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:4,P2-候选一致仍需官方闭环:4；P1-缺PDFOCR候选需人工看图:4；P3-有候选但需人工确认:3；P0-候选冲突优先核PDF原页:2,R1-PDFOCR与高校辅证存在一致字段:4；R5-无候选需人工看图:4；R3-仅PDFOCR候选待人工核页:3；R0-PDFOCR与高校辅证存在冲突:2,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=13；湖北官方侧记录完成=13或记录官方系统不可得状态；高校辅证记录完成=13；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-670dd8fd3630cdb9,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,4,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-815b76bed7962001,FIRSTREVIEW-815b76bed7962001,FIRSTPREFILLAUDIT-815b76bed7962001,169,right,169-right,22,12,10,1,0,1,10,10,1,20,0,1,15,11,1,0,1,10,2,12,1,11,0,0,11,10,22,22,22,0,0,0,0,private_pdf_ocr_candidate_seeded:12；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:10,P1-缺PDFOCR候选需人工看图:20；P3-有候选但需人工确认:1；P0-候选冲突优先核PDF原页:1,R2-高校有线索但PDFOCR缺候选:10；R5-无候选需人工看图:10；R3-仅PDFOCR候选待人工核页:1；R0-PDFOCR与高校辅证存在冲突:1,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=22；湖北官方侧记录完成=22或记录官方系统不可得状态；高校辅证记录完成=22；双人复核完成=10；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-9d09fa448802d3c6,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,5,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,FIRSTPREFILLAUDIT-ffc90431edf15154,18,left,018-left,17,9,8,4,6,0,0,8,4,8,5,0,12,27,12,6,6,15,1,9,2,9,9,9,12,4,17,17,17,0,0,0,0,private_pdf_ocr_candidate_seeded:9；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:8,P1-缺PDFOCR候选需人工看图:8；P2-候选一致仍需官方闭环:5；P0-候选冲突优先核PDF原页:4,R5-无候选需人工看图:8；R1-PDFOCR与高校辅证存在一致字段:5；R0-PDFOCR与高校辅证存在冲突:4,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=17；湖北官方侧记录完成=17或记录官方系统不可得状态；高校辅证记录完成=17；双人复核完成=4；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-39cfc7bcbd00517f,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,6,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-f58ca9d1af902d1a,FIRSTREVIEW-f58ca9d1af902d1a,FIRSTPREFILLAUDIT-f58ca9d1af902d1a,37,left,037-left,5,3,2,1,1,2,0,2,1,2,0,2,6,3,3,1,2,0,3,2,1,1,1,1,3,3,5,5,5,0,0,0,0,private_pdf_ocr_candidate_seeded:3；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:2,P1-缺PDFOCR候选需人工看图:2；P3-有候选但需人工确认:2；P0-候选冲突优先核PDF原页:1,R5-无候选需人工看图:2；R3-仅PDFOCR候选待人工核页:2；R0-PDFOCR与高校辅证存在冲突:1,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=5；湖北官方侧记录完成=5或记录官方系统不可得状态；高校辅证记录完成=5；双人复核完成=3；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-802cdb191c00122c,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,7,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-0f2775b71610686e,FIRSTREVIEW-0f2775b71610686e,FIRSTPREFILLAUDIT-0f2775b71610686e,194,left,194-left,7,0,7,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,0,0,private_pdf_ocr_candidate_unavailable_needs_manual_image_review:7,P1-缺PDFOCR候选需人工看图:7,R5-无候选需人工看图:7,先人工看图补PDF原页读数，再核湖北官方侧,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=7；湖北官方侧记录完成=7或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=7；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-49dfd962eacfb463,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,8,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-4c0f16a37d308b85,FIRSTREVIEW-4c0f16a37d308b85,FIRSTPREFILLAUDIT-4c0f16a37d308b85,56,left,056-left,16,8,8,1,0,1,6,8,1,14,0,1,9,14,1,0,1,13,0,8,1,7,0,7,9,3,16,16,15,0,0,0,0,private_pdf_ocr_candidate_unavailable_needs_manual_image_review:8；private_pdf_ocr_candidate_seeded:8,P1-缺PDFOCR候选需人工看图:14；P0-候选冲突优先核PDF原页:1；P3-有候选但需人工确认:1,R5-无候选需人工看图:8；R2-高校有线索但PDFOCR缺候选:6；R0-PDFOCR与高校辅证存在冲突:1；R3-仅PDFOCR候选待人工核页:1,先核PDFOCR与高校辅证冲突任务，再做双人复核,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=16；湖北官方侧记录完成=16或记录官方系统不可得状态；高校辅证记录完成=15；双人复核完成=3；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-e6bb7a68cf2f9948,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,9,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-65f75a1a3c92b9b3,FIRSTREVIEW-65f75a1a3c92b9b3,FIRSTPREFILLAUDIT-65f75a1a3c92b9b3,70,left,070-left,2,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,1,0,0,0,0,private_pdf_ocr_candidate_seeded:1；private_pdf_ocr_candidate_unavailable_needs_manual_image_review:1,P3-有候选但需人工确认:1；P1-缺PDFOCR候选需人工看图:1,R3-仅PDFOCR候选待人工核页:1；R5-无候选需人工看图:1,先人工看图补PDF原页读数，再核湖北官方侧,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=2；湖北官方侧记录完成=2或记录官方系统不可得状态；高校辅证记录完成=1；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；高校辅证记录未完成；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
FIRSTPAGECAND-5204e3839b5946b3,data/working/issue19-stable-foundation-first-closure-execution-queue.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit-summary.json,first_closure_pdf_ocr_candidate_private_workbench_not_public,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_candidate_dashboard,PDF页码×版面列,PDF页码×版面列×第一闭环PDFOCR候选状态,false,false,false,false,false,false,false,false,10,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,FIRSTPAGE-150f6369ef9f31d4,FIRSTREVIEW-150f6369ef9f31d4,FIRSTPREFILLAUDIT-150f6369ef9f31d4,23,left,023-left,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,private_pdf_ocr_candidate_unavailable_needs_manual_image_review:1,P1-缺PDFOCR候选需人工看图:1,R5-无候选需人工看图:1,先人工看图补PDF原页读数，再核湖北官方侧,ebe9a929aa5327d814cf6c1fbf177f8dfd41fb51f57f1642ffdd773a22548525,false,false,PDF原页记录完成=1；湖北官方侧记录完成=1或记录官方系统不可得状态；高校辅证记录完成=0；双人复核完成=1；字段事实写回复查通过后才可进入下一层,PDF原页记录未完成；湖北官方侧记录未完成或不可得状态未确认；双人复核未完成；字段事实写回仍阻断,blocked_until_first_closure_private_review_confirms_values,公开层只保存页列候选状态桶、计数、证据编号、SHA和门禁；不公开候选明细、学校专业明细、识别正文或私有路径,按执行顺序和页列候选核验动作回看PDF原页；再核湖北官方侧；必要时复核高校官网或招生章程；仍不得自动写回字段事实
