稳定基座第一闭环页列包ID,来源第一闭环明细包,来源稳定基座自动官网辅证交叉核验工作台,来源稳定基座最小人工闭环工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,第一闭环批次,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,来源页码,版面列,页码版面键,页列总任务数,自动官网辅证任务数,P0人工字段任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,涉及专业行数,涉及字段任务数,涉及院校代码数,院校代码集合,院校名称集合短摘,专业行ID集合SHA256,第一闭环明细任务ID集合SHA256,自动交叉核验任务ID集合SHA256,最小人工闭环任务ID集合SHA256,P0字段即时复核任务ID集合SHA256,是否含计划数冲突或补缺,是否含P0人工字段任务,是否需要双人复核,第一闭环页列优先级,页列执行状态,人工必做步骤,工作量压缩说明,字段事实写回状态,公开安全策略,下一步
FIRSTPAGE-815b76bed7962001,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,169,right,169-right,22,12,10,1,10,1,0,0,10,12,10,1,H450,山东工商学院,2d6780175dbb42512cf7f07f206380686255031d663022f67e349d7b6c8cb680,ed0db8bdeae02c33c4c1fd4a50b731f75c9cb0e8f2c5a3459ff46eec81842a9c,2fa43d9a204cf54b58be5d95e6a0f5fbc18cc289107e9fbea6c3e7fdee1252ff,6309375d88dd347847f146266c349573781b9dea1f13010949f6cf71df6daf09,4d0d43fefe917b12c0551dd3457f7774ce8ada3a9f61e56ae254649aba40c4f4,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-ffc90431edf15154,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,18,left,018-left,17,9,8,1,8,0,0,0,8,9,8,1,A033,中国传媒大学,9d5c5849d01dc69100caf58c48b5b5abcb96d5968ee7182a981788f52b9b073c,f717f09771e27720d04aa0c718d97d9631fad9a81935fe6ca771515aee6304be,7d22d6cc6aa71701f80ade7a261fe1d42b514d6c14a3c72245cf8f4486db3951,027cc3847cb5a7de0687fbc6dd94457cf5244f605490357e4604ee5443f8f235,2149d20f0dd3e6fc8660c13e3fd467b142c29b2f77b025d79b5c6589daf283ac,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-4c0f16a37d308b85,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,56,left,056-left,16,8,8,0,7,1,1,1,6,9,8,2,A195；A193,兰州大学；陕西师范大学,2a48ed900048298fdd556042715e21a06a6f82c0caf39e9b96f88403a1641d52,a149ca4e148357062249bf687dc8c8b2fb036c82939a24993038f086568e6f56,c3f94dfcf8820186cd7b6470157a460c0002746decc4a26dcf5ba90185718dee,aa3a13254cb4217322d412142e216a0eb820bd71d5b78b4701e2351ac544bfc1,3f96bc3bed45fd6d07e89e93f0f2921e6e43683a0b21d03ea8883b99f9235e6e,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-e942d34407576c0d,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,209,right,209-right,13,9,4,2,4,3,0,0,4,9,4,1,K153,成都信息工程大学,a12a2c179e6b10f6eda658861bad9b7487c304b81a02ed9f11b9619bbee64b03,3d8096ffff6839a9cd75ef9cc194283468a9a1b1caf241db789066bcb31a245d,2436ede61e18df9e05dcda30adb99674b12a0d3ea5e919f62ad06731472143fa,94b065495fb5828a854a143a619cec6a132a60fbda780a0a1747b15545f27050,9cd4483d6a18d2eee64d4b35640405293e03d762d6caa376d98bd110e0277e15,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-49426baa76375e44,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,135,left,135-left,10,10,0,10,0,0,0,0,0,10,0,1,F902,江苏理工学院,0ee182772f8c76aac1d4d216f9e64a49b2e49df9b80184e6ae3e90b3f05b888e,126a3d23e4a4497fa58c3446a141edf97ac7352519a8284181396937ab731fd3,69978f71eb92fe4823580bfcc8ca95d486493b33d8f8033a0a886723f5d161db,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,true,false,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-0f2775b71610686e,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,194,left,194-left,7,0,7,0,0,0,6,1,0,7,7,1,H857,北师香港浸会大学,e0cceba20cd338ab30f288cb754268c546ef0f682f5f8917cee9a44c5e29813a,75230b8b104e2beeb0d586e8989abce3cf3f6534a844cb145ee9d8cd73bc2aaf,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,a337859487d0a9c6f7753ccdf62a9977be958011c7b7790cb6c3b28940796303,20ad8600338ef532d0f80884096bf6cbd0d35095ffd8abf343661d174a65637e,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-f58ca9d1af902d1a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,37,left,037-left,5,3,2,1,0,2,0,0,2,5,2,1,A135,山东大学,5e9c73303ac3dcc9bf7b5a47c8895bbed3681a1e777eb0f95483b872cd8fa66f,57463b3bb05dc6c82c92e5ea1167ab6bc5b0c86926ffd9241fb645436fe128fa,b53825e8413adbd5cf4ef50638ab0e47951998c238109809ff52fca894412937,31c1fa1dfe8c4d9fde04da8506b01021e5783306a82fad481439a5299f59ef8f,0665bce60856163c977c10371a038eaa279101445d61fbaa4dc72aca35430704,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-97ab0abc16a6bf85,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,199,left,199-left,5,4,1,3,0,1,0,0,1,5,1,1,H945,南宁学院,0b1314d00e3d2318817088438584bab6df098adefdf7e995c1ccfe51c64328f8,01095a1df06d073c8cf443ff0717639042cd3d4d547bacfc3bc23f2965416610,1e42176d746cc7cfacddf2c8aba41c224d13be080e394cf0c40f7359ee3a56b8,b2c760e657584beed6efe5b6a6062621d1e07511f175a9027e99c8a6e164b444,e91f96ba75d1101c01ca335e0a830ab59ae58004422287a8fa95702b713655f8,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-65f75a1a3c92b9b3,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,70,left,070-left,2,1,1,0,0,1,1,0,0,2,1,1,C108,江汉大学,e7705f31474d9dc47d4559ce965199f18cd83b44eb4158103face37ce8dac0f4,289f242e24d0c0f8ea701241312f3d369f3c134a9c4171485b517c073c410b26,2fde82bb5821e6ab1d3c09c2b8ab934db74ba6dbabcf0c7ce993f2ea50b15d2d,b1b82110ccdaeb0746deb296822f2b934c4cf333a7d6ff8c1dd7b79277060714,77d6742f24ffbb431c06d819f366b13e7b76e006cb5112e9a09d10410263f456,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
FIRSTPAGE-150f6369ef9f31d4,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-stable-foundation-minimal-manual-closure-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_page_side_packet,PDF页码×版面列,PDF页码×版面列×第一闭环核验包,FIRST-CLOSURE-PAGE-SIDE,false,false,false,false,false,false,false,false,23,left,023-left,1,0,1,0,0,0,1,0,0,1,1,1,A075,大连海事大学,6901b00e7d063cd57828a6324bdea75388018fc2cb95a45bb0893ee8be99c8ed,4c7aead077eb4e85dbb59736d253f9129ae0430c4342a4a0d8f9564abd268d4e,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,32a0388b78e165a1cdea146a0d51269d06c10ffd0df40881f72bd970800b53b3,361ab4c88f898ed895a4a5173aaefab914f87136a8598cbecba0789a7ae54900,true,true,true,Q0-冲突页列第一批先核,R0-未开始第一闭环核页,PDF原页核页；湖北官方系统或省招办计划核验；高校官网只作辅证；冲突或补缺项双人复核,按PDF页码×版面列集中核验，同页列自动官网任务和P0字段任务一起处理。,blocked_until_pdf_hubei_official_private_review,公开表只保存页列计数、任务集合SHA、院校短摘和状态；不保存图片路径、人工读数、OCR原文或登录态。,先处理本页列内所有第一闭环明细任务，再回写私有核验状态；公开层保持非最终门禁。
