第一闭环公开证据地图ID,来源页列证据状态汇总,来源任务复核公开账本,来源私有预填公开审计,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,来源页码,版面列,页码版面键,执行泳道,第一闭环页列优先级,页列任务数,自动官网辅证任务数,P0人工字段任务数,专业计划数字段任务数,学费字段任务数,再选科目字段任务数,PDF原页待核任务数,PDFOCR提示任务数,PDFOCR无候选任务数,机器坐标提示任务数,高校辅证线索任务数,高校辅证待核任务数,公共高校来源文件任务数,公共高校来源文件数,湖北官方侧待核任务数,PDFOCR与高校辅证冲突任务数,高校有线索但PDFOCR缺候选任务数,仅PDFOCR候选待人工核页任务数,需要人工直接看图任务数,需要双人复核任务数,页列主阻断,页列建议下一步动作,字段事实写回阻断任务数,字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,完成条件,公开安全策略
FIRSTEVIDMAP-f071cc651db21446,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,1,135,left,135-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,10,10,0,10,10,1,10,10,0,0,10,10,10,1,10,10,0,0,10,10,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,10,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-af53cd122eb2e5e7,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,2,199,left,199-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,4,1,4,4,3,5,4,1,1,3,5,3,1,5,3,0,1,3,4,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,5,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-d4f202845786f7d3,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,3,209,right,209-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,13,9,4,12,9,6,13,9,4,0,6,13,6,1,13,2,0,3,6,4,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,13,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-ed0b7025f8fac3fd,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,4,169,right,169-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,22,12,10,22,12,1,22,12,10,0,11,22,11,1,22,1,10,1,11,10,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,22,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-7792a759f047fb13,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,5,18,left,018-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,17,9,8,17,9,9,17,9,8,5,9,17,9,1,17,4,0,0,7,4,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,17,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-39bb4c8e429499a0,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,6,37,left,037-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,5,3,2,3,2,3,5,3,2,0,1,5,1,1,5,1,0,2,3,3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,5,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-c8b7e1504778b9e7,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,7,137,right,137-right,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,1,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-2413818d7f9eb4fc,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,8,194,left,194-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,7,0,7,7,0,0,7,0,7,7,0,0,0,0,7,0,0,0,0,7,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,7,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-b97adfb465a2362e,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,9,56,left,056-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,16,8,8,15,8,7,16,8,8,5,7,15,7,1,16,1,6,1,4,3,B0-PDFOCR与高校辅证冲突,先按私有页列材料核PDF原页；冲突字段必须双人复核，并等待湖北官方侧记录后再判定。,16,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
FIRSTEVIDMAP-46ed05594f9dbd2a,data/working/issue19-stable-foundation-first-closure-evidence-status-page-side-summary.csv,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-triage-prefill-public-audit.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_public_evidence_map,PDF页码×版面列×公开证据地图,false,false,false,false,false,false,false,false,10,70,left,070-left,E0-冲突异常双人优先核验,Q0-冲突页列第一批先核,2,1,1,1,0,1,2,1,1,1,0,1,0,0,2,0,0,1,0,1,B2-机器坐标候选辅助核页,按机器坐标提示定位字段，但仍以PDF原页人工记录和湖北官方侧为准。,2,0,false,false,PDF原页、湖北官方侧、必要高校辅证和双人复核状态均闭环后，才可进入字段写回评估,公开层只保存页列状态桶、计数、集合SHA和门禁；不公开学校专业明细、字段读数、识别正文、截图、人工记录或私有路径。
