稳定基座第一闭环复核公开账本ID,来源第一闭环明细包,来源第一闭环页列包,来源页列底座公开核页进度账本,来源页列底座字段线索公开审计,来源页列底座人工复核Overlay公开账本,来源湖北官方公开入口状态快照,来源第一闭环私有复核材料,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环页列包ID,页列底座核验批次行ID,页列底座核页进度公开账本ID,页列底座字段线索公开审计ID,页列底座Overlay公开账本ID,来源页码,版面列,页码版面键,第一闭环页列优先级,第一闭环页列执行状态,第一闭环明细任务数,自动官网辅证任务数,P0人工字段任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,涉及专业行数,涉及字段任务数,是否含计划数冲突或补缺,是否需要双人复核,批次总序,批次ID,批次名称,批内页列序号,页列全局风险总序,综合风险优先级桶,页列首要核验动作,全量底座包内专业行数,全量底座包内字段任务数,OCR行数,OCR低置信度行数,私有页图证据编号,私有页图SHA256,私有OCR文本证据编号,私有OCR文本SHA256,私有第一闭环页列CSV证据编号,私有第一闭环页列CSV_SHA256,私有第一闭环页列HTML证据编号,私有第一闭环页列HTML_SHA256,私有第一闭环材料状态,Overlay进度桶,PDF原页记录已填字段数,湖北官方记录已填字段数,高校辅证记录已填字段数,字段最终记录已填字段数,三方一致性可评估字段数,首轮复核已填字段数,次轮复核已填字段数,复查结论已填字段数,第一闭环PDF原页完成任务数,第一闭环湖北官方完成任务数,第一闭环高校辅证完成任务数,第一闭环字段事实写回可进入任务数,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
FIRSTREVIEW-815b76bed7962001,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-815b76bed7962001,PSFOUNDATIONBATCHROW-b09a4b1fa0c029fc,PSFOUNDATIONPROG-b7d806a528cf27d6,PSFIELDCLUE-b7d806a528cf27d6,PSOVERLAYPROG-b7d806a528cf27d6,169,right,169-right,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,22,12,10,1,10,1,0,0,10,12,10,true,true,6,PSFOUNDATIONBATCH-7d5be7027274369a,第06批-页列底座核验,20,145,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,45,135,145,72,page-169,68154a8768710ed161ae9744da6f34c0186a97e0ea1823cd0bea01436a70a3f1,169_page-169,18292a8fa070135424a25d704f78f3bd8e18d0b477ce5beff8c5e3dd4049be34,first-closure-169-right-csv,8d2e621c1b192890a6ee204ea288ca2f979404c32a58ac367530244a088095f1,first-closure-169-right-html,8f76daa094e9532b6f2e5717633405c9ad40efeb51a699229d1170cbbb3dfef7,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-ffc90431edf15154,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-ffc90431edf15154,PSFOUNDATIONBATCHROW-56eb259a23a04244,PSFOUNDATIONPROG-43acd59d697aa234,PSFIELDCLUE-43acd59d697aa234,PSOVERLAYPROG-43acd59d697aa234,18,left,018-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,17,9,8,1,8,0,0,0,8,9,8,true,true,17,PSFOUNDATIONBATCH-223da4493222f13e,第17批-页列底座核验,10,410,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,26,78,150,78,page-018,2e91f8dd3ddf578f1c137e511205ccfa4349e914cc6897563e39219ad2331f1c,018_page-018,14f4ea716ab5b84c083b7b1a282fd39062c23426ccdcbc8b72b3b5d3f0d27279,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-4c0f16a37d308b85,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-4c0f16a37d308b85,PSFOUNDATIONBATCHROW-47848db24fee52bd,PSFOUNDATIONPROG-983a9c296ac5c4c7,PSFIELDCLUE-983a9c296ac5c4c7,PSOVERLAYPROG-983a9c296ac5c4c7,56,left,056-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,16,8,8,0,7,1,1,1,6,9,8,true,true,18,PSFOUNDATIONBATCH-341f848e275d481c,第18批-页列底座核验,19,444,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,25,75,133,66,page-056,7e678674f04d3caffbdb708e4f1d763c325bcd9497a03cd60b650e1d31cf32b5,056_page-056,9b0eb1f04a449850b963b9e54618c81f8381a7741cf36c9060205a21b50310cc,first-closure-056-left-csv,44c5a7bde2f4747e5e502a3aced01d4d98962055d18f710326d2109d07a5b276,first-closure-056-left-html,32fb8cc97d9f42dfbd95a5ba85beb92767f3bb109bdbe06cf2ddfa75b9440a77,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-e942d34407576c0d,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-e942d34407576c0d,PSFOUNDATIONBATCHROW-0eb9b24e85ff4b2b,PSFOUNDATIONPROG-be963fc46359ebed,PSFIELDCLUE-be963fc46359ebed,PSOVERLAYPROG-be963fc46359ebed,209,right,209-right,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,13,9,4,2,4,3,0,0,4,9,4,true,true,8,PSFOUNDATIONBATCH-64acf798aacc69cb,第08批-页列底座核验,18,193,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,30,90,149,84,page-209,337319545a8e1edf5715aaa7b029ef8d17fe80c292f94c3f2029acb31192c0c6,209_page-209,520d92ba4334d4b40d89fb3db44c45f283e2cfeba5ac01c717626e097c981217,first-closure-209-right-csv,d7b17679040dde852a21d99e6832761c22ba853179cac937c841d37b330b5ea6,first-closure-209-right-html,d5d80ff32bf32c3dfaa19ab7e2924539b58d862306db70265cbfc85031d89081,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-49426baa76375e44,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-49426baa76375e44,PSFOUNDATIONBATCHROW-58168b99699bcf03,PSFOUNDATIONPROG-a5b8b3ef441b0b85,PSFIELDCLUE-a5b8b3ef441b0b85,PSOVERLAYPROG-a5b8b3ef441b0b85,135,left,135-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,10,10,0,10,0,0,0,0,0,10,0,true,true,8,PSFOUNDATIONBATCH-64acf798aacc69cb,第08批-页列底座核验,11,186,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,41,123,149,75,page-135,c6bdb619e23f376d0be395e803de9ece928e0219c77a08dfad956006dc4773cd,135_page-135,0be10230dee9f8ffb9631d0486efde85f7e345cad7355fe982a3de60748a24d9,first-closure-135-left-csv,3749a224b2d361f77757e776c625bc6688aab2940536d9471d3902ed66198374,first-closure-135-left-html,31f6b15770ceec253c9ed1b8b1ca1324b255b21d36302715cbf1d1c8e4bbd97b,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-0f2775b71610686e,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-0f2775b71610686e,PSFOUNDATIONBATCHROW-a9ca22325eea3d36,PSFOUNDATIONPROG-821fdc62fe510bcd,PSFIELDCLUE-821fdc62fe510bcd,PSOVERLAYPROG-821fdc62fe510bcd,194,left,194-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,7,0,7,0,0,0,6,1,0,7,7,true,true,1,PSFOUNDATIONBATCH-25b206c1475d4d27,第01批-页列底座核验,23,23,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,15,45,113,75,page-194,64fbd70faa0dca2fb2415b2a49ba1f7f25ccc69d3d1eb2ba39f8cb1d41740af5,194_page-194,963bfd5d139aeaa5f300824b936e6514af9c2e6ce31091b975ab985cb23112cd,first-closure-194-left-csv,0646856acb8b004c45b556286bf09d98ae809e203be99423b2a36a04e91ea5bc,first-closure-194-left-html,e7781154fae6bbe5b553661aabda3ec74ea6fc082340725f62fa7a33cd26ea0a,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-f58ca9d1af902d1a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-f58ca9d1af902d1a,PSFOUNDATIONBATCHROW-2ff2de9a6a6e6e77,PSFOUNDATIONPROG-5ea3bf4e5c302251,PSFIELDCLUE-5ea3bf4e5c302251,PSOVERLAYPROG-5ea3bf4e5c302251,37,left,037-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,5,3,2,1,0,2,0,0,2,5,2,true,true,16,PSFOUNDATIONBATCH-d6dea4e285579ad8,第16批-页列底座核验,4,379,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,19,57,131,76,page-037,0f71485e0cc4cbe486a173fab6d3297d5f95051a59147d56aa098be032713dff,037_page-037,15166656bdbaad58678026a88161e252db2e9bce912ead6631331d738f676ce9,first-closure-037-left-csv,45764205a4d1dca12cc954cf6ef874a8854e8fd28dea0d7dc448d3a45d6b5ae9,first-closure-037-left-html,401fda4efc6a1ec2cf5d5139d953f0079eef34a2bdf3ee8db49e6f32f5795b09,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-97ab0abc16a6bf85,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-97ab0abc16a6bf85,PSFOUNDATIONBATCHROW-83761849f360d7a4,PSFOUNDATIONPROG-d46431ee64fe7dcd,PSFIELDCLUE-d46431ee64fe7dcd,PSOVERLAYPROG-d46431ee64fe7dcd,199,left,199-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,5,4,1,3,0,1,0,0,1,5,1,true,true,6,PSFOUNDATIONBATCH-7d5be7027274369a,第06批-页列底座核验,22,147,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,42,126,173,85,page-199,04a13d07b958a2165704e51511b21dd8118c1335395644eb673a1f635a140903,199_page-199,2ae6fc4cdede1ac2acb60fa71836d17c1e43d420f4e29bff25a05f11f53a114c,first-closure-199-left-csv,ba674bdd41297d68a49abd28a56f76e55b8864c5cbafbbc0534e5b53c281c715,first-closure-199-left-html,0015fb47a28280a4de32d77adfa128c2f8e0553efcf7633c4d50ed66f8d2e7c4,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-65f75a1a3c92b9b3,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-65f75a1a3c92b9b3,PSFOUNDATIONBATCHROW-399069bd08341f9c,PSFOUNDATIONPROG-5f13a38da072acc2,PSFIELDCLUE-5f13a38da072acc2,PSOVERLAYPROG-5f13a38da072acc2,70,left,070-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,2,1,1,0,0,1,1,0,0,2,1,true,true,15,PSFOUNDATIONBATCH-d6059232cf5a1403,第15批-页列底座核验,19,369,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,36,108,160,74,page-070,31a8fa321c47651c5e47aa7518b6066580a4f8430352effc2afdbc7ed7a7d909,070_page-070,8c63d3c1beb34f1581118eee112ddd7131a1353c7836c8f4d885bf507efde235,first-closure-070-left-csv,5e6958633b34cb554a66725b4c143b040b5496cda7f4d9da48fd12aa03b028b3,first-closure-070-left-html,4e695efc8e6e2c3d441771c8eb054c45d2a78fa1913d9cf1e8762b28e0659a07,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
FIRSTREVIEW-150f6369ef9f31d4,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-page-side-foundation-review-progress-public-ledger.csv,data/working/issue19-page-side-foundation-field-clue-public-audit.csv,data/working/issue19-page-side-foundation-human-review-overlay-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_private_review_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_review_public_ledger,PDF页码×版面列,PDF页码×版面列×第一闭环私有复核材料进度,false,false,false,false,false,false,false,false,FIRSTPAGE-150f6369ef9f31d4,PSFOUNDATIONBATCHROW-4c7ebad6cd688b36,PSFOUNDATIONPROG-ea55c0663f9f25be,PSFIELDCLUE-ea55c0663f9f25be,PSOVERLAYPROG-ea55c0663f9f25be,23,left,023-left,Q0-冲突页列第一批先核,R0-私有复核材料已生成但未核页,1,0,1,0,0,0,1,0,0,1,1,true,true,16,PSFOUNDATIONBATCH-d6dea4e285579ad8,第16批-页列底座核验,6,381,Z0-结构源证据或官方消歧阻断页列先核,先核结构边界、源证据和官方查询键消歧，再处理字段读数。,24,72,143,76,page-023,1f5622b697b4c0a1fa2c8d56049ae4127722d02df64fb0adf48ac14435696268,023_page-023,c42197e5a0ce2ec3bf44a8cb1189943558709229b3d40d18f99a8fcfce79c65c,first-closure-023-left-csv,81dee0189d85627cfc98a950fd90f8b55d488a762fa8d4878be5f26d18d740b1,first-closure-023-left-html,fd354007552335ea321c72cf896934c89026a153bd83568a4a44aa90223ae20c,private_first_closure_review_material_generated,R0-Overlay已生成未填写,0,0,0,0,0,0,0,0,0,0,0,0,false,false,blocked_until_first_closure_pdf_hubei_review_closed,公开表只保存页列计数、公开账本回链、私有材料证据编号和SHA；不保存页图路径、OCR文本、人工读数、登录态或私有记录。,打开本页列私有HTML/CSV，先核PDF原页，再核湖北官方侧；高校官网只作辅证，冲突时回到PDF原页和湖北官方侧。
