稳定基座第一闭环任务复核公开账本ID,来源第一闭环明细包,来源第一闭环页列包,来源第一闭环复核公开账本,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环明细任务ID,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,任务来源类型,第一闭环批次,第一闭环纳入原因,第一闭环页列优先级,任务级复核状态,任务级阻断原因,PDF原页是否必核,湖北官方侧是否必核,高校辅证是否需要复核,是否需要双人复核,字段名,官网辅证自动动作,官网证据强度,官网来源状态,官网证据匹配状态,计划数核验状态,差异字段集合,疑似OCR把学费读入计划数,最佳官网来源文件,最佳官网来源文件是否存在,最佳官网来源文件SHA256,自动辅证是否可作为核页提示,自动辅证是否可替代湖北官方计划,P0字段即时复核任务ID,P0即时字段确认公开账本ID,执行批次,人工核验泳道,人工核验方式,人工最小动作,裁图证据编号,裁图文件SHA256,裁图bbox归一化,私有第一闭环页列CSV证据编号,私有第一闭环页列CSV_SHA256,私有第一闭环页列HTML证据编号,私有第一闭环页列HTML_SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,官方公开计划页可定稿,数智平台可定稿,公开安全策略,下一步
FIRSTTASKREVIEW-208001f43250728c,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-400b9fb6c1658bc2,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-03be14d5008a95f0,G-2432826275c85956,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-83cb8d3b6e656ecc,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-6e2d3b4c7f4c6ceb,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-1313bee178d7d0ee,G-df1242f8618d3971,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,官网计划数与OCR候选冲突，第一批必须回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,true,,C0-冲突先核PDF原页和湖北官方系统,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先核PDF原页字段列，再核湖北官方侧；官网只作冲突提示,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-ebb0ebf6971a6557,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-d3d836a7f7b9fd39,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-1fb605576ebe5318,G-df1242f8618d3971,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-f4971af13ac69612,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-06b9748c821af613,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-83af574ae53d478b,G-df1242f8618d3971,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-bcb1e24de45ad9fc,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-ab6063ed0b37268b,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-84b7a37c3bcb4125,G-df1242f8618d3971,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-3942aec82a357e63,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-8bf313b58dad8c1d,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-93d6111287b31e95,G-2432826275c85956,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-d96972f3f181a2bb,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-c44867e8ce0e0774,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-d52b9b951aa3b3b1,G-2432826275c85956,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-17761d3776eedd60,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-0a008f059b306a64,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-f588b8040b4edb64,G-2432826275c85956,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-7832e0ea3c6c0571,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-4a2ece3f20087581,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,M-fddc2e8a1a4582a1,G-2432826275c85956,A033,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,OCR计划数缺口但官网有补缺线索，第一批回页核,Q0-冲突页列第一批先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C1-官网补缺候选但禁止自动写回,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,false,data/external/issue19-b0-b1-official-sources/cuc-2026-hubei-physics-normal-zsjh.json,true_public_source_file_retained,d688936e4cd3a5555df370b3c4624d923d3f27c47905f2b5bfc5d0f25edfa19a,true,false,,,,,,先看PDF原页是否为空或漏读，再核湖北官方侧；官网只作补缺候选,,,,first-closure-018-left-csv,e5db700c3d348ad32aaa855c50252ecd06a1d096dbcac34daf8c341d9c123381,first-closure-018-left-html,cb2abee631aa17b696bcd8cd73f6cde0449b63381bae7fa13dba0d9daba1103c,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
FIRSTTASKREVIEW-22902868d84f824a,data/working/issue19-stable-foundation-first-closure-detail-packet.csv,data/working/issue19-stable-foundation-first-closure-page-side-packet.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_task_review_public_ledger,逐专业招生明细×第一闭环任务,逐任务×PDF原页×湖北官方侧×高校辅证状态,false,false,false,false,false,false,false,false,FIRSTDETAIL-1e9409107b74d4f5,FIRSTPAGE-71c8a1c59d84716c,FIRSTREVIEW-71c8a1c59d84716c,36,right,036-right,M-4d38d93ca32f7ba3,G-9fca3ce8b2adbf9c,A135,自动官网辅证任务,FIRST-AUTO-C0-C1-C7,官网源未稳定匹配专业名，第一批确认专业归属,Q2-官网未匹配或高校辅证页列先核,T0-待PDF原页和湖北官方核验,高校官网辅证只能提示冲突或补缺，不能替代第19期原页和湖北官方侧,true,true,true,false,,C7-官网源未匹配专业需人工确认专业名,unmatched,has_reusable_2026_hubei_plan_source,unmatched,not_covered,官网专业未匹配,false,,not_applicable_no_best_school_source,,false,false,,,,,,先确认专业名和限定词归属，再决定是否继续核字段,,,,first-closure-036-right-csv,15d387c0b7493b9d5270e156191c1d925bbbdff82fe558cdd0a08b855bad55c6,first-closure-036-right-html,5510355a5c966fd04c9dff876a437ab43c0e8d298d50e14649b3f8755c40f218,has_page_hash_pending_manual_pdf_review,pending_hubei_official_plan_review,school_official_evidence_sidecar_only_not_replacement,pending_pdf_hubei_school_consistency_review,blocked_until_pdf_hubei_official_review,false,false,公开任务级状态、公共来源文件SHA和私有材料证据编号；不公开页图路径、OCR原文、人工读数或登录态,在私有页列材料中完成PDF原页、湖北官方侧和必要高校辅证记录后，再由公开账本同步完成计数
