第一闭环私有预填公开审计ID,来源第一闭环任务复核公开账本,来源第一闭环复核公开账本,来源湖北官方公开入口状态快照,来源第一闭环私有预填材料,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,稳定基座第一闭环页列包ID,稳定基座第一闭环复核公开账本ID,来源页码,版面列,页码版面键,第一闭环页列优先级,预填任务数,自动官网辅证任务数,P0人工字段任务数,高校辅证线索任务数,含高校计划数线索任务数,含高校学费线索任务数,含高校选科线索任务数,公共高校来源文件任务数,公共高校来源文件数,自动辅证可作为核页提示任务数,PDF原页必核任务数,湖北官方侧必核任务数,高校辅证需复核任务数,双人复核任务数,C0冲突任务数,C1官网补缺任务数,C7官网未匹配任务数,EXEC01冲突异常字段数,EXEC02计划数偏大字段数,EXEC03高校辅证字段数,私有预填页列CSV证据编号,私有预填页列CSV_SHA256,私有预填材料状态,官方公开计划页可定稿,数智平台可定稿,字段事实写回状态,公开安全策略,下一步
FIRSTPREFILLAUDIT-ffc90431edf15154,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-ffc90431edf15154,FIRSTREVIEW-ffc90431edf15154,18,left,018-left,Q0-冲突页列第一批先核,17,9,8,9,9,9,9,9,1,9,17,17,17,4,1,16,0,0,0,8,FIRST-CLOSURE-PREFILL-CSV-018-left,f60b24c5cfbf28ec763019dca8f97abb7b88d84137fe113dc73fb764c673b2ce,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-150f6369ef9f31d4,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-150f6369ef9f31d4,FIRSTREVIEW-150f6369ef9f31d4,23,left,023-left,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-023-left,f46acffa08f42d8041a57bd3a8f7030fb6e873f36b9deac5d0b21d55193b75f6,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-f58ca9d1af902d1a,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-f58ca9d1af902d1a,FIRSTREVIEW-f58ca9d1af902d1a,37,left,037-left,Q0-冲突页列第一批先核,5,3,2,1,1,1,1,1,1,1,5,5,5,3,1,0,2,0,0,2,FIRST-CLOSURE-PREFILL-CSV-037-left,d56f3c34709c73abbbf374fb4935243ecca82d927f7f30e429297a47e700a2a3,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-6877343afbe11307,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-6877343afbe11307,FIRSTREVIEW-6877343afbe11307,40,right,040-right,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-040-right,258a0b0766673df34b35a2578a4535cfe731e956e3fb18c79fdc8a1e856d495a,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-cc413d4ed28b64a8,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-cc413d4ed28b64a8,FIRSTREVIEW-cc413d4ed28b64a8,43,left,043-left,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-043-left,2cef05969ebd8656c1f99a252bb0fa612d7689e5f1ee91eae04a88d1d41db6a7,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-b1715d7e0fecab9a,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-b1715d7e0fecab9a,FIRSTREVIEW-b1715d7e0fecab9a,53,right,053-right,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-053-right,c1bc882d0f1e83366d754285fb8288864adc0e53eaba173b2a7cead8a0ce2637,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-4c0f16a37d308b85,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-4c0f16a37d308b85,FIRSTREVIEW-4c0f16a37d308b85,56,left,056-left,Q0-冲突页列第一批先核,16,8,8,7,7,0,7,7,1,7,16,16,15,3,0,14,1,1,1,6,FIRST-CLOSURE-PREFILL-CSV-056-left,49d602ea1074d2a7df2e210e2b379385b7d067119257d3ac5cc9807fe97fc581,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-65f75a1a3c92b9b3,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-65f75a1a3c92b9b3,FIRSTREVIEW-65f75a1a3c92b9b3,70,left,070-left,Q0-冲突页列第一批先核,2,1,1,0,0,0,0,0,0,0,2,2,1,1,0,0,1,1,0,0,FIRST-CLOSURE-PREFILL-CSV-070-left,a7bfd81f00b00ade5f3d18dcd5e0b6d246dfdc7f71a025adf8fb17429a04faf8,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-b07fea137a292b98,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-b07fea137a292b98,FIRSTREVIEW-b07fea137a292b98,93,left,093-left,Q0-冲突页列第一批先核,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,FIRST-CLOSURE-PREFILL-CSV-093-left,8d2e60dd8a575a773e10db531e7807950b951f5fca5d0d3aa5f05249a257025d,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
FIRSTPREFILLAUDIT-49426baa76375e44,data/working/issue19-stable-foundation-first-closure-task-review-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-review-public-ledger.csv,data/working/issue19-official-public-entry-status.json,first_closure_triage_prefill_private_material_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_first_closure_triage_prefill_public_audit,PDF页码×版面列,PDF页码×版面列×第一闭环私有预填审计,false,false,false,false,false,false,false,false,FIRSTPAGE-49426baa76375e44,FIRSTREVIEW-49426baa76375e44,135,left,135-left,Q0-冲突页列第一批先核,10,10,0,10,10,10,0,10,1,10,10,10,10,10,10,0,0,0,0,0,FIRST-CLOSURE-PREFILL-CSV-135-left,8b1b04de611bab189b85e87f131a304e2f45b220005eb7c05ea7e6cbd836b817,private_triage_prefill_material_generated_not_reviewed,false,false,blocked_until_private_pdf_hubei_review_confirms_values,公开层只保存页列计数和私有预填CSV的SHA；不公开高校候选值、OCR候选值、人工读数、私有路径或复核记录,人工在私有预填工作台中按页列核PDF原页、湖北官方侧和高校辅证线索，完成后再进入字段事实复查
