W0B0执行预填明细公开审计ID,来源W0B0最小人工复核明细,来源第一闭环下一步动作矩阵,来源第一闭环字段确认公开账本,来源第一闭环PDFOCR候选公开审计,来源第一闭环机器坐标候选公开审计,来源W0B0私有预填材料,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行预填明细序号,W0B0执行预填包公开审计ID,W0B0最小人工复核包ID,W0B0最小人工复核明细ID,第一闭环事实核验包明细ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,稳定基座第一闭环明细任务ID,来源页码,版面列,页码版面键,专业行ID,专业组出现ID,院校代码,事实域,事实类型,事实粒度,字段名,最小复核类型,复核优先级,页列主阻断,核验动作层级,第一闭环下一步动作ID,第一闭环字段确认公开账本ID,第一闭环PDFOCR候选公开审计ID,第一闭环机器坐标候选公开审计ID,PDFOCR提示状态,PDFOCR审阅桶,PDFOCR与高校辅证关系桶,机器坐标提示状态,机器坐标审阅桶,机器坐标关系桶,候选提示综合桶,高校辅证线索状态,湖北官方侧状态,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,私有预填记录状态,私有预填记录证据编号,私有预填记录SHA256,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,三方字段一致性状态,字段事实写回状态,最小执行动作,公开安全策略
W0B0EXEITEM-e8dc28f399552ec4,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,1,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-2be5ed86f3f7a406,FIRSTFACTITEM-bb1d7930f717b364,FIRSTSCOPE-ae07c875846b53ae,,,135,left,135-left,,,,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,,M0-先核专业组边界,P0,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突×10,,,,,page_side_review,,,,,,,page_side_has_school_side_evidence,pending_hubei_official_plan_review,true,false,true,false,false,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-e8dc28f399552ec4,7b0b917e8cc3f8c07ff2180e565871c7696382ef5cad31e815ac6f72792cf65c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核专业组标题、起止、跨页延续和左右栏边界，再处理同页字段事实。,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-bbe23016ab924ef5,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,2,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-52b2804d6e94ef75,FIRSTFACTITEM-a577c3254bb60b7e,FIRSTSCOPE-8ab312cd14027fc8,FIRSTFACT-f029e715a7cc7f9b,FIRSTDETAIL-0dada9bf9ecaa6e1,135,left,135-left,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-6cbf5cf7011e48e0,FIRSTFCONF-93e57d20f514130b,FIRSTPDFOCR-93e57d20f514130b,FIRSTMCOORD-93e57d20f514130b,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-bbe23016ab924ef5,b090f954e349cb3c9e80b3d1392364ce185ed4d9de8ac6769ce4ef6713a4e176,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-94574eb0d886c87e,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,3,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-ef21a27cc32ce6a4,FIRSTFACTITEM-75464bd7cb1e5cb3,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTDETAIL-0e930ca33ab1b3b9,135,left,135-left,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-7aac2e9e65a79119,FIRSTFCONF-bfa8cf8970e7d5f4,FIRSTPDFOCR-bfa8cf8970e7d5f4,FIRSTMCOORD-bfa8cf8970e7d5f4,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-94574eb0d886c87e,c9cebd6f20d9291d281063866571013ceb743ae17a9f503ca074bcaceb8f8985,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-288daf9fd713b4e1,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,4,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-2888f92a4afe5ceb,FIRSTFACTITEM-8ae695b33c38c876,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTDETAIL-202127380ebfe86a,135,left,135-left,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-16547bc2e7189a71,FIRSTFCONF-39a5532be91543c7,FIRSTPDFOCR-39a5532be91543c7,FIRSTMCOORD-39a5532be91543c7,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-288daf9fd713b4e1,fd2d1692c857e6725513ef33331b4fa705c8948e7037006859c15aefb0360333,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-8fa00ffdafedcaa1,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,5,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-0a4f0e4c6447270a,FIRSTFACTITEM-07770734c6a6256c,FIRSTSCOPE-474aa99203156821,FIRSTFACT-3464f438b32a27ef,FIRSTDETAIL-28da3744d1bbd3b1,135,left,135-left,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-dd3935e1aa37e2f1,FIRSTFCONF-26057f4340d64228,FIRSTPDFOCR-26057f4340d64228,FIRSTMCOORD-26057f4340d64228,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-8fa00ffdafedcaa1,a4b07e8d8032ef7aacb17fd2ca22aaa5f98a947611b204b0cf94604328b0e466,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-74ddcd22f35b8ffa,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,6,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-d8b69ea634a97aa3,FIRSTFACTITEM-61444f9ef234dab0,FIRSTSCOPE-7318dcdb8cb04b0f,FIRSTFACT-6f3131a4f2572718,FIRSTDETAIL-726fddd63013332a,135,left,135-left,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-10f1f33a05b7108b,FIRSTFCONF-a5608ad06a95aedb,FIRSTPDFOCR-a5608ad06a95aedb,FIRSTMCOORD-a5608ad06a95aedb,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-74ddcd22f35b8ffa,d1ecf49644f4bebfdbf6b3f08f09de9e8e01b6830d3e0c6f71a9030acb00b185,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-77580ff73a16cb7c,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,7,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-537271ba1db69732,FIRSTFACTITEM-e4b767b0fe32ff4f,FIRSTSCOPE-4c83bf09deca4cca,FIRSTFACT-7ec9b4ddb7b1a37d,FIRSTDETAIL-9008da4b792e2d9c,135,left,135-left,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-a76815064ca4265b,FIRSTFCONF-1fb2e173cd94f5bc,FIRSTPDFOCR-1fb2e173cd94f5bc,FIRSTMCOORD-1fb2e173cd94f5bc,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-77580ff73a16cb7c,794b9071727afdfb601bde6f917a4b9e0b87b87a6aec645bfe31bb4dca998375,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-4dc36ce3bfa3c3e0,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,8,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-5f104ad1d77c39bd,FIRSTFACTITEM-566fb0f6ffad7515,FIRSTSCOPE-5041b716ac6906b8,FIRSTFACT-52c25588f157bbec,FIRSTDETAIL-98835066fcfb9b8c,135,left,135-left,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-74af63130dcdbbd9,FIRSTFCONF-f03797c21840d98b,FIRSTPDFOCR-f03797c21840d98b,FIRSTMCOORD-f03797c21840d98b,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-4dc36ce3bfa3c3e0,72872643ffbbe3ddcd8fdea9b906f44121d095b92519e77b1a37978f2c50117a,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-1193ae7f00ba9c08,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,9,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-c4a20df95ec69798,FIRSTFACTITEM-b6b4dd2f991fc755,FIRSTSCOPE-feaf4f2b9ff9a501,FIRSTFACT-ffe0ef3f2c7a8f33,FIRSTDETAIL-9d2efbd617a42fa2,135,left,135-left,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-75e16e2dd9d11005,FIRSTFCONF-dbe3431271d8753c,FIRSTPDFOCR-dbe3431271d8753c,FIRSTMCOORD-dbe3431271d8753c,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-1193ae7f00ba9c08,159e612e9875a3439e087429ae8f0d5120abe507c51402160e250dd3a67a404d,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
W0B0EXEITEM-e116f67a09421be4,data/working/issue19-stable-foundation-first-closure-w0-b0-minimal-manual-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-next-action-matrix.csv,data/working/issue19-stable-foundation-first-closure-field-confirmation-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-pdf-ocr-candidate-public-audit.csv,data/working/issue19-stable-foundation-first-closure-machine-coordinate-candidate-public-audit.csv,w0_b0_minimal_private_prefill_not_public,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_execution_prefill_audit_items,W0-B0最小人工复核事实,最小事实×执行预填状态,false,false,false,false,false,false,false,false,10,W0B0EXEPKT-3d7fe3650f399533,W0B0MANPKT-4377877606819f0d,W0B0MANITEM-9191028403424660,FIRSTFACTITEM-f574ef69a565696b,FIRSTSCOPE-ba2400c007be00aa,FIRSTFACT-4b504c4890acee9b,FIRSTDETAIL-c38ee9bcbc39ce19,135,left,135-left,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,FIRSTNEXT-7d1243d0e1d34b96,FIRSTFCONF-3712fb406bc29364,FIRSTPDFOCR-3712fb406bc29364,FIRSTMCOORD-3712fb406bc29364,private_pdf_ocr_candidate_seeded,P0-候选冲突优先核PDF原页,R0-PDFOCR与高校辅证存在冲突,M2-原已有PDFOCR候选不启用机器坐标补候选,MC2-原已有PDFOCR候选按原流程人工核页,MR2-原PDFOCR已有候选无需坐标补候选,H0-PDFOCR与高校辅证冲突,has_school_side_evidence,pending_hubei_official_review,true,false,true,true,true,true,private_prefill_seeded_pending_manual_review,W0B0-PRIV-W0B0PRIV-e116f67a09421be4,a90f6a72ed72b5211883b2c2cca693fed49c2c16cba265649f7622da845ac675,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,pending_three_way_closure,blocked_until_pdf_hubei_school_three_way_closure,先核PDF原页，再核湖北官方侧，最后对照高校辅证,公开层只保存状态、ID、计数和私有记录SHA；学校专业明细、字段读数、OCR正文和人工备注只在private目录。
