W0B0最小人工复核明细ID,W0B0最小人工复核包ID,来源第一闭环事实核验包明细,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,包内最小复核序号,最小人工复核包序号,页码版面键,来源页码,版面列,第一闭环事实核验包明细ID,第一闭环事实范围缺口公开账本ID,第一闭环字段事实公开账本ID,稳定基座第一闭环明细任务ID,专业行ID,专业组出现ID,院校代码,事实域,事实类型,事实粒度,字段名,最小复核类型,复核优先级,页列主阻断,核验动作层级,是否需要人工看图,是否需要双人复核,人工最小复核动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,事实对象集合SHA256,公开安全策略
W0B0MANITEM-2be5ed86f3f7a406,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,1,1,135-left,135,left,FIRSTFACTITEM-bb1d7930f717b364,FIRSTSCOPE-ae07c875846b53ae,,,,,,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,,M0-先核专业组边界,P0,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突×10,false,true,先核页列内专业组起止、跨页延续、左右栏边界和组内归属，防止后续字段串组。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,f5cb4682a2f2345327a5ef5556ff7d116ffe8d7460210026e579f0d06dcd70f8,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-52b2804d6e94ef75,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,2,1,135-left,135,left,FIRSTFACTITEM-a577c3254bb60b7e,FIRSTSCOPE-8ab312cd14027fc8,FIRSTFACT-f029e715a7cc7f9b,FIRSTDETAIL-0dada9bf9ecaa6e1,M-4b0ca5231b5e0dda,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7a20d7e88bf18af92a5aa7e1681845a1ab54a4b8b8cad214e3e0ad54fc487f43,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-ef21a27cc32ce6a4,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,3,1,135-left,135,left,FIRSTFACTITEM-75464bd7cb1e5cb3,FIRSTSCOPE-e4964e5da2943b52,FIRSTFACT-bf41213f26357d30,FIRSTDETAIL-0e930ca33ab1b3b9,M-af973281700f5eb7,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,43a28c46d6ae20849aece20878f5ea1c9ce53d800c30a4ea10781d91d53ddcc1,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-2888f92a4afe5ceb,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,4,1,135-left,135,left,FIRSTFACTITEM-8ae695b33c38c876,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTFACT-ad0e20aac0166fee,FIRSTDETAIL-202127380ebfe86a,M-cf6e2346e326fb75,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,221d7feb6acf4f81d75804a6ab710ff0434967a6566bb27095b4fd2953ec41db,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-0a4f0e4c6447270a,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,5,1,135-left,135,left,FIRSTFACTITEM-07770734c6a6256c,FIRSTSCOPE-474aa99203156821,FIRSTFACT-3464f438b32a27ef,FIRSTDETAIL-28da3744d1bbd3b1,M-7af5985c525e29ba,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,e992ed36b90aceef1de4cdd7d9284e5bb3048fe2e7be1ead20702a311fabca46,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-d8b69ea634a97aa3,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,6,1,135-left,135,left,FIRSTFACTITEM-61444f9ef234dab0,FIRSTSCOPE-7318dcdb8cb04b0f,FIRSTFACT-6f3131a4f2572718,FIRSTDETAIL-726fddd63013332a,M-78343e2534bdcb7c,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b65eefa9b406d387520712770943f4b3503f0be4683e7165c48cec779b12f74b,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-537271ba1db69732,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,7,1,135-left,135,left,FIRSTFACTITEM-e4b767b0fe32ff4f,FIRSTSCOPE-4c83bf09deca4cca,FIRSTFACT-7ec9b4ddb7b1a37d,FIRSTDETAIL-9008da4b792e2d9c,M-dc3b57515c994b61,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,ae07497af2d87a5da832179352b17a0ec86e08e5a6da0346fa29a50bf8ff28e3,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-5f104ad1d77c39bd,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,8,1,135-left,135,left,FIRSTFACTITEM-566fb0f6ffad7515,FIRSTSCOPE-5041b716ac6906b8,FIRSTFACT-52c25588f157bbec,FIRSTDETAIL-98835066fcfb9b8c,M-4c1c9015c9d9aef3,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,dc04f1d97e64afcd8394b91c0bf182f9107c7039e5add080a0ac911093cae820,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-c4a20df95ec69798,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,9,1,135-left,135,left,FIRSTFACTITEM-b6b4dd2f991fc755,FIRSTSCOPE-feaf4f2b9ff9a501,FIRSTFACT-ffe0ef3f2c7a8f33,FIRSTDETAIL-9d2efbd617a42fa2,M-e169ec05a319416b,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,377c28a7d2bac5b239241b38995533fb2f88aa8cde0259b1a29e257ee80f7cb7,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
W0B0MANITEM-9191028403424660,W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist_items,W0-B0页列最小人工复核明细,最小人工复核包×事实范围,false,false,false,false,false,false,false,false,10,1,135-left,135,left,FIRSTFACTITEM-f574ef69a565696b,FIRSTSCOPE-ba2400c007be00aa,FIRSTFACT-4b504c4890acee9b,FIRSTDETAIL-c38ee9bcbc39ce19,M-bf093921a5df7b57,G-158e8a85ddd262f3,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,B0-PDFOCR与高校辅证冲突,N0-先双人核PDF原页冲突,true,true,双人回看PDF原页，记录计划数、学费或选科冲突字段，并等待湖北官方侧复核。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,b4a504b264cee847c0a414042bb2c73eb27ee245d06bde715e46331cc69b2d58,公开层只保存最小复核类型、页列、状态桶、ID和SHA；不保存字段明细值、识别正文或私有材料。
