W0B0最小人工复核包ID,来源第一闭环事实核验包,来源第一闭环事实核验包明细,来源B0冲突页列核验状态,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,最小人工复核包序号,原事实核验包序号,第一闭环事实核验包ID,B0冲突页列核验状态ID,来源页码,版面列,页码版面键,B0冲突优先级判定,W0事实范围总数,最小人工复核事实数,同页伴生待核事实数,专业组边界先核事实数,明确冲突字段事实数,专业名归属事实数,专业计划数冲突字段事实数,学费冲突字段事实数,再选科目冲突字段事实数,涉及第一闭环任务数,涉及冲突任务数,涉及专业行数,涉及院校代码数,需双人复核事实数,需人工看图事实数,B0页列任务数,B0明确冲突任务数,B0同页非冲突待闭环任务数,全局计划数冲突专项同页行数,最小复核类型分布,事实类型分布,人工最小复核动作,完成条件,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,最小人工复核事实集合SHA256,同页W0事实集合SHA256,任务ID集合SHA256,专业行ID集合SHA256,院校代码集合SHA256,公开安全策略
W0B0MANPKT-4377877606819f0d,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,1,1,FIRSTFACTPKT-9c88dcbc51a822a9,FIRSTB0STATUS-49426baa76375e44,135,left,135-left,P0-整页列高冲突，先双人核PDF原页与湖北官方侧,22,22,0,1,21,0,10,10,1,10,10,10,1,22,21,10,10,0,10,M0-先核专业组边界×1；M1-双人核明确冲突字段×21,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,00db2c57b43c8f3b26e4a38c4100e72887df9faf8f973e73e52cb6eecac6206a,00db2c57b43c8f3b26e4a38c4100e72887df9faf8f973e73e52cb6eecac6206a,341184f10270fbdb2f0c3e81355e50894f0ac0d659248439b743088fcf7ffcc9,686493426e0aa0a7206688f89894e9cd970b0679c68fa8e6f3ea956e4f005af9,8920ff86c3af081e4efcebbb38909382d0dd51e833119e5677b29bc48903ce2e,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-100fa6274e1d03ed,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,2,5,FIRSTFACTPKT-6351d2a96a11cecc,FIRSTB0STATUS-ffc90431edf15154,18,left,018-left,P1-多字段冲突或双人复核较多，优先核PDF原页,36,13,23,1,12,0,4,4,4,4,4,4,1,4,13,17,4,13,1,M0-先核专业组边界×1；M1-双人核明确冲突字段×12,专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×4；字段事实-学费×4,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,e25052aeb664222fb5818716bb6792d2ac7d10ab64f52aa739056c3f82dbbf7f,472d47615ebce8e27d7004ad259913be442f20b064bb6e124b24f5bfd7911dcf,b83e6d4f79d082acfa8cc896ee99cac027700e38301e7836242032989a3f729a,871f7f6b49e4fbaf05269fb87cd5754e64dae3a9730f19e0a6939a685cc1670d,840bc543dcc720ba7260a5dd8cf53ab2655bc93eb4be06b0c21b06cf4a609e42,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-ba37423af5e98088,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,3,3,FIRSTFACTPKT-a8595b3479f39c4a,FIRSTB0STATUS-97ab0abc16a6bf85,199,left,199-left,P1-多字段冲突或双人复核较多，优先核PDF原页,13,11,2,1,9,1,3,3,3,4,3,4,1,10,9,5,3,2,3,M0-先核专业组边界×1；M1-双人核明确冲突字段×9；M2-核专业名归属×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×3,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,a39f29c72a72793e55070c946ed4ff97d6a54eae3065e914c774ec2ea2e0295b,8e641fc8e76258bcc9e8f98ab6499ecad36b7093db50ecd0ce84171573eca907,b1a8592645c6053020dadf6db75cb50f19e56e7fe4a87bbcbed4c0556ee638af,21e3787e19b97f5770f6af204baab1644f60a6363e8c1a826d9665eceefb4d52,fb61c7c1175189cf58cff97de9b41e013e6e9e75552b765dfb96eaed28d98fb2,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-88105520e62ee00c,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,4,4,FIRSTFACTPKT-e2d200cdee3c5432,FIRSTB0STATUS-e942d34407576c0d,209,right,209-right,P1-多字段冲突或双人复核较多，优先核PDF原页,31,10,21,1,6,3,2,2,2,5,2,5,1,7,7,13,2,11,2,M0-先核专业组边界×1；M1-双人核明确冲突字段×6；M2-核专业名归属×3,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×2；字段事实-学费×2,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,f04ce74e324462fa3b6f056205895a8dbacc2b9481f5d132d4583422616935f4,39049c487210aa372e5f375d27246f1d4a30429a6acbc0494bdb728abd3dcbb2,6740ef79ad491721d405fe04ae034caf2f1513113e12da198a1b966af57b5fb0,4d897444e67a64579c154bdafcb40870770d39e7d226871a5969560197422644,a764f5f65a6087318b7cd803b3ba6031396dbfd8f159dff51db918673d6f8d32,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-a5740353320cf69b,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,5,10,FIRSTFACTPKT-db4af8fdf1598b65,FIRSTB0STATUS-ed94df7696953cc5,226,right,226-right,P1-多字段冲突或双人复核较多，优先核PDF原页,9,7,2,1,6,0,2,2,2,2,2,2,1,1,7,4,2,2,0,M0-先核专业组边界×1；M1-双人核明确冲突字段×6,专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×2；字段事实-学费×2,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,413a3502a6dbbf65905638aa89ca48da16ddc3066d75a81b0e14b9f9e859eec5,30c6af0684790a6d15ce2a25f87477bfa0c399f4a5c1aca3638ed259c6eb8d28,5dccde714248e8eaa7ab4639626d9e4378659af2eefd98f41cb5c09f2bd8982c,1c003f4532ef56430a6c1d3605dd5b537cd3478e45f81900c321675f05bf356e,640082c04be96da904cedb13db707da524ede4ecbf44d14eeed3eda023501f40,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-e770bdb780cfee87,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,6,6,FIRSTFACTPKT-dbd850cebb941f23,FIRSTB0STATUS-b55961124bc8610b,226,left,226-left,P1-多字段冲突或双人复核较多，优先核PDF原页,80,5,75,1,3,1,1,1,1,2,1,2,2,1,4,39,1,38,0,M0-先核专业组边界×1；M1-双人核明确冲突字段×3；M2-核专业名归属×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,3ce59c3cc82b19855cafe0cc57c7b326126d3d161b8769a8f7306450ae90888d,eb05245f80ef183d970cd4cf5859c04e3a054120a275b2ff58f831e6303b76b6,5e1cf5e71d6da36765e7601c221c7aa9d3655f51e81db51271ef37eab7af646b,006204a7c10079575d801df57b7b1f52f917162482498615444e55d2ab171391,bce4e1f21c0c13fdc4cf9663f3acf3dab8ca9b9ea9b7418d9b5c7ad6b0fe8a17,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-2c87c6c25ede47d4,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,7,2,FIRSTFACTPKT-16271aabfef3c237,FIRSTB0STATUS-815b76bed7962001,169,right,169-right,P1-多字段冲突或双人复核较多，优先核PDF原页,37,4,33,1,2,1,1,1,0,2,1,2,1,3,3,22,1,21,1,M0-先核专业组边界×1；M1-双人核明确冲突字段×2；M2-核专业名归属×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,0706d6e0927a60e7fcc7c9e74d26636fef53730c18686b01e3deb44f4ecdb4be,e1d171568214a1cde4f098b6e83f217d8a0d4d95c2f47584ff784e9360e9ad40,13c3a6f93029e060343740b2fe5e09df95a049a7f026d9d4adc3eea0629bf040,eeb1eeebe31fcef047ecf85c2814e5b2af929bd9fde85034e6bb8f06d8cc8a3e,e33aa8070796cc4b9dd5ca24c3f40daed60041349ce399df1fd6c0204935232e,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-914c772cbb04c08d,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,8,7,FIRSTFACTPKT-f6b8c835e1a0b567,FIRSTB0STATUS-f58ca9d1af902d1a,37,left,037-left,P3-单点冲突，随同页列材料完成核验,11,6,5,1,3,2,1,1,1,3,1,3,1,4,4,5,1,4,0,M0-先核专业组边界×1；M1-双人核明确冲突字段×3；M2-核专业名归属×2,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,7d649e12cd2df8f4a4ba1a4ba558cf57fb57b242d85d96f3191be2e3a9497e6a,4eca0fd5476e5f5a0f9b0e797c7c116e3d24d970ad70923e048304f9d9d7f74c,91e55e42035f189c6c67c925e1a1ebf112c8e9e699f3cb0271af96d42ddd7add,07b141eca7bfd88b5255f4f48a4d6480c9b4779fadf2da11dce07d04f7c37333,acbf576b6b2a67d79cd21bd54556e64a32e9d6281b673929b0d3c1bc08ff8b8f,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-b98d706e103469ea,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,9,8,FIRSTFACTPKT-8e0dde71b1a19b4a,FIRSTB0STATUS-4c0f16a37d308b85,56,left,056-left,P3-单点冲突，随同页列材料完成核验,32,5,27,1,3,1,1,1,1,2,1,2,1,1,4,16,1,15,0,M0-先核专业组边界×1；M1-双人核明确冲突字段×3；M2-核专业名归属×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,5794ffd5e53119373fd226e43edd3004a85c92d9188bc3e56a6185015f64838e,0976818a4bfa4b17d5f8d44e57c25f42cb7105dab6c9738aa80da76d6e763ffd,31ba60cddb67529e9dd33059fce77e2bf5fe53b3c94192667ff65ba528658c6b,26a21189094c04bb05c5f9a0594771bf159c76a74414612e58754aa860a975ec,74b32d5f3a49a83c7dede89bef0f47ec2a69bde52bdac0c9367bf97acb24132d,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
W0B0MANPKT-e8f1fc7ad9077d1d,data/working/issue19-stable-foundation-first-closure-fact-verification-packets-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-fact-verification-items-public-ledger.csv,data/working/issue19-stable-foundation-first-closure-b0-conflict-status-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_stable_foundation_first_closure_w0_b0_minimal_manual_checklist,W0-B0页列最小人工复核包,PDF页码×版面列×最小人工复核事实,false,false,false,false,false,false,false,false,10,9,FIRSTFACTPKT-ee1aa9b38bede149,FIRSTB0STATUS-7826a50352856b5d,137,right,137-right,P3-单点冲突，随同页列材料完成核验,4,4,0,1,3,0,1,1,1,1,1,1,1,4,3,1,1,0,1,M0-先核专业组边界×1；M1-双人核明确冲突字段×3,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,先核专业组边界，再双人核明确冲突字段；如有专业名归属事实，同页同步核归属。,最小清单内事实完成PDF原页记录、湖北官方侧核验、必要高校辅证和双人复核后，才能继续同页伴生事实闭环；仍不自动写回字段。,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,46567174d1662c91677d05877d70c4c9a764676844fae04f234c628f8a4d2353,46567174d1662c91677d05877d70c4c9a764676844fae04f234c628f8a4d2353,5ca8c98107449f25c801f30f1e274f3d4f72b135602b6bfc57f76121c8fd3585,a896beb783dce6a04c04b50a782e5a9b16b801c772eca0afb836726963d31b04,67c655f4d9411562d337ba21d09744cc61ba35531af164f1d55457d94b6e7926,公开层只保存页列、状态桶、计数、ID和SHA；不保存学校专业明细、字段明细值、识别正文或私有材料。
