稳定基座最小人工闭环任务ID,来源P0即时字段确认公开账本,来源P0页列执行进度公开账本,来源稳定基座逐专业筛选视图,来源自动交叉核验工作台,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,P0即时字段确认公开账本ID,P0字段即时复核任务ID,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,页码版面键,字段名,专业组内专业序号,专业代号OCR,专业名称及备注短摘,人工核验泳道,人工核验方式,执行批次,页列执行进度桶,裁图证据编号,裁图文件SHA256,裁图规格SHA256,裁图bbox归一化,是否需要双人复核,是否有高校字段线索,是否裁图OCR与机器候选冲突,是否裁图OCR与高校辅证冲突,是否机器高校冲突,高校官网证据强度,高校官网证据匹配状态,高校官网来源状态,同专业官网辅证自动动作,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网或招生章程辅证状态,三方字段一致性状态,字段事实写回状态,最小人工闭环阶段,人工必做步骤,人工工作量压缩方式,公开安全策略,下一步
STABLEMANUAL-0d23753b844c97b7,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-0d23753b844c97b7,P0IMMEDIATE-0daf2a4ebb9317b0,M-d00c26dbacdf01ae,G-d3f006c8e5f4feff,A075,大连海事大学,A07507,23,left,023-left,专业计划数,3,29,船舶与海洋工程（中外合作办学）（外五食作学校为英国思克莱德大学，非英语语种考生慎报）A079 吉林大学（公办）（吉林）,M5-多值或双人复核常规核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-99d757d08d99e8e5,eea2a4bc5e5793b7a2a48111564026526a39bc2c9595d4492afe2b087fd020fb,f0ddab9899f51683291a9ae19a70c6814e2b9027caa1ac3a44de41cc8aea0d43,x=0.043000-0.552000;y_bottom_origin=0.527500-0.725244,true,false,false,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-05a4d80e4392729f,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-05a4d80e4392729f,P0IMMEDIATE-a17fc8078317a33d,M-bd5236570ff0b18a,G-0982c5e9e2f76632,A145,中国地质大学（武汉）,A14505,40,right,040-right,专业计划数,3,12,地质学类（背英班：食地质学、地球物理学、地球信息科学与技术，海洋科学、地理科学、资源勘查工程、水文与水资源工程、地质工程专业）14506 中国地质大学（武汉）第06组,M3-多源一致快速三方核验,三方线索优先核验,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-194985d27c9a99eb,16d670d77966fa2932a221b2698b7cfc08e38fb6904e93b93ad95d1ccfe90459,eb475544020656b1343b9a082f3470df8104905aed48ba14d17f92e3d738de11,x=0.448000-0.957000;y_bottom_origin=0.426633-0.614942,true,false,false,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-404f23dadae85dae,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-404f23dadae85dae,P0IMMEDIATE-57a7929d1167fa84,M-a3b3fb4cce94a6b1,G-9eb5729c6ba5bb05,A151,华中师范大学,A15125,43,left,043-left,专业计划数,1,63,教育技术学（民族班；智能教育实验A153 中南财经政法大学（公办）（湖北）,M5-多值或双人复核常规核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-4631da05ed442e6c,7b3f90ea6b421afedcd3495248f02b6d966aebdb28afe94126b03bd03a36a377,6f5d8c8edecba76f79917c51c07241ce41d6069d81d8bb0eb1f27e96aa7bc0df,x=0.043000-0.552000;y_bottom_origin=0.544942-0.664268,true,false,false,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-ff1804250dcfc260,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-ff1804250dcfc260,P0IMMEDIATE-42c5378f6377dc51,M-0948630e9c96d719,G-09c809b3416aa6ab,A185,西北工业大学,A18503,53,right,053-right,学费,2,23,高分子材料与工程（中外合作办学）（办学地点：长安校区）,M0-冲突优先双人核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-a5ac7751175425d4,34e3b80b7db3e171bfd6debfe99cf21b2b93baeafb3998946c8a654e04d47fa8,c753515cb1b9a8b0951c6900771a412ffdfa36c481377634f21e2fcfbb567773,x=0.448000-0.957000;y_bottom_origin=0.281794-0.414268,true,false,true,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-fbf4df965481d22c,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-fbf4df965481d22c,P0IMMEDIATE-7b4b19f096c47639,M-6f60d88ce3a3687e,G-399026bbf2fbbc18,A195,兰州大学,A19511,56,left,056-left,专业计划数,3,37,计算机科学与技术（密码技术创新班；办学地点：甘肃兰州）,M0-冲突优先双人核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-21bcb640e4c2a9b3,7585397e90fccc4ed14ff7eaa21290ce21689c40f9e35586aa95d0c5b3f69dd7,308137570b9fff9efa230856b2776a85ad0ba70c0ac4a473406896b2bf23a4b1,x=0.043000-0.552000;y_bottom_origin=0.092662-0.257384,true,true,false,true,true,fill_candidate,matched,has_reusable_2026_hubei_plan_source,C1-官网补缺候选但禁止自动写回,pending_manual_pdf_review,pending_hubei_official_review,pending_private_school_reading,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；高校官网或招生章程辅证核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-764c5d715983bd1f,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-764c5d715983bd1f,P0IMMEDIATE-8b19be64e48e859f,M-33fd60126319d2e3,G-ac06627d5c6676be,C108,江汉大学,C10819,70,left,070-left,专业计划数,8,A8,英语（数智语言应用：要求高考外语单科成绩不得低于110分（满分150分）；外语语种：英语；面向武汉）,M3-多源一致快速三方核验,三方线索优先核验,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-5b665a78f9dd4a20,5b45d6521b5f7983a6c68d95e1f554366439029425fbba97ef800cf3abba3ba6,44e88688d24d9e32dac705d0003b0b3682d8e0eb4e97181865e9aff7a9b30bc8,x=0.043000-0.552000;y_bottom_origin=0.000000-0.309694,true,false,false,false,false,partial_source,,has_partial_source_needs_followup,C4-已有部分来源需补结构化或补湖北行,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-1bd761f17292de21,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-1bd761f17292de21,P0IMMEDIATE-2921c66321f93e57,M-5f2c58c2cd393f06,G-a6db479a7a076023,F008,北京农学院,F00804,93,left,093-left,学费,2,FP,009首都医科大学（公办）（北京）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-f5b4d2a649b96cf4,2fe82260a3ce1cb5a40f9d6285ed25ffbc984a5d03fd345eeab846451e0e0cf1,5d6e8a2f7a2ba50b83b724ee8540d367dfda93522156443462899c0e9f752bd5,x=0.043000-0.735769;y_bottom_origin=0.289012-0.447791,true,false,false,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-6d703948b0c7ff5b,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-6d703948b0c7ff5b,P0IMMEDIATE-3f80ea2c5da38e77,M-ab056be9f534d089,G-13ade75559db9581,H023,浙江财经大学,H02305,141,left,141-left,学费,2,H0,24 衢州学院（公办）（浙江）,M2-裁图OCR未稳定补读人工看图,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-1d114d34397007fe,49b9bb999c317fc7732f6cf59d49d3f9b297182471400dd40be951ec63cd6793,f833489647195f7e5dbee0d9e88c86ae6dfcdd7e905cceb7a3cb355f1ceea95a,x=0.043000-0.729345;y_bottom_origin=0.055117-0.174431,true,false,false,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-7d7445076dfe0dd0,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-7d7445076dfe0dd0,P0IMMEDIATE-93509207bb2f1258,M-26d2edeaf4b862a5,G-a0f68bc50be1b3be,H857,北师香港浸会大学,H85702,194,left,194-left,专业计划数,5,11,应用心理学（中外合作办学）（英文教学.非英语语种考生不宜报考；办学地点：广东省珠海市）,M0-冲突优先双人核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-4bc8857002d14825,8304b920addc9b5357d013fdd256a8a927d7a1d0fe7f9722879878de00414977,6fc4d8963f8a0efc59504bdaba107d45d6449addfeb1befbfdf7568718ee70d6,x=0.043000-0.552000;y_bottom_origin=0.147857-0.690020,true,false,true,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
STABLEMANUAL-77fa25ce9d205048,data/working/issue19-p0-immediate-field-confirmation-public-ledger.csv,data/working/issue19-p0-immediate-page-execution-progress-public-ledger.csv,data/working/issue19-stable-foundation-major-screening-view.csv,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_minimal_manual_closure_workbench,逐专业招生明细,逐专业招生明细×P0字段×最小人工闭环,false,false,false,false,false,false,false,P0FCONF-77fa25ce9d205048,P0IMMEDIATE-09e3be62e32e6a12,M-41f9a26d1cfcd633,G-40e8e2649ba8d3a6,H857,北师香港浸会大学,H85703,194,left,194-left,专业计划数,2,14,食品科学与工程（中外合作办学）（英文教学.非英语语种考生不宜报考；办学地点：广东省珠海市）,M0-冲突优先双人核页,双人复核,EXEC-01-冲突异常立即核页,R0-未开始PDF和湖北官方核验,P0CROP-748e343e066c9899,6d9057eb49bb85379bc9bf59c65e1c17dbe60b56884447b6aa5455ab55bc10e2,c0c794fa5521f7c02e9856c3819480927f1f04275daf3dc7892227d3d7449fb4,x=0.043000-0.552000;y_bottom_origin=0.428644-0.622209,true,false,true,false,false,,,,,pending_manual_pdf_review,pending_hubei_official_review,not_applicable_no_school_field_clue,pending_private_three_way_field_confirmation,blocked_until_required_private_readings_complete,H0-P0即时字段核页,PDF原页逐字段读数；湖北官方系统或省招办计划逐字段核验；双人复核,按PDF页码×版面列集中核页，同一页列内字段一起完成；只公开状态不公开人工读数。,公开表保存任务ID、证据SHA、bbox和状态；不保存图片路径、OCR原文、人工读数、登录态或个人信息。,先完成PDF原页读数，再等湖北官方系统/省招办计划字段核验；字段一致前不得写回主表。
