高校侧辅证刷新公开账本ID,来源稳定基座自动交叉核验工作台,来源高校官网补源种子表,来源湖北官方公开入口状态快照,来源期号,来源PDF_SHA256,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,执行顺序,高校侧刷新批次,高校侧刷新任务类型,高校侧刷新优先级,院校代码,院校名称OCR,官网辅证自动动作,闭环优先级,官网证据强度,官网来源状态,官网证据匹配状态集合,计划数核验状态集合,差异字段集合,来源文件类型集合,公开来源文件数量,公开来源文件集合SHA256,公开来源URL数量,公开来源URL集合SHA256,涉及招生明细数,涉及专业组数,涉及PDF页数,涉及页列数,专业行ID集合SHA256,专业组ID集合SHA256,页列集合SHA256,计划数冲突行数,官网补缺候选行数,强辅证抽检行数,部分来源待结构化行数,继续补源行数,仅章程规则行数,官网未匹配行数,字段辅证行数,疑似学费读作计划数行数,需要PDF原页100%核验行数,建议抽检行数,建议补结构化行数,建议继续补源行数,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源刷新状态,高校官网或招生章程辅证状态,字段事实写回状态,公开安全策略,下一步
SCHOOLREFRESH-0e8009428c38bfa0,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,1,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,A033,中国传媒大学,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,API/JSON,1,620766e230b5cde2d89fe86447f6cfd7391c2dc562430349938c3623be27e584,1,79e5838faa49b52e0fe3035444c1dcdb3a791678605cd63e64273bef4b2af1f4,1,1,1,1,8bb7ba3dcb7343bf8eb2fed9f71f223fc0fed4e375652e52067c73929818b790,709dc578a480304a1917c921147cbc042ad04b735e0e95099248d63aa4a28e3d,2e65f9b489d861853a64fddc185c272266792aaee357bffd4e1e5cf776b3f33c,1,0,0,0,0,0,0,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-71789acaa2f3c653,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,2,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,A135,山东大学,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_reusable_2026_hubei_plan_source,matched,mismatch,计划数冲突,API/JSON,1,46cafa9dfacd815760545db85ef86334c99d32a05ff0db8a2c0626920061eeb7,1,ec446d1e25e8d11a1ea4068de59ecfbf0cf104218f7dafbb3d6fe63f1461890c,1,1,1,1,c1d4cd0b83598667aee2b3561ed597c7abb77752b458aaadaef2db88323f4b32,36888bacee037d662a8afb97ff04f18a8d1bd4365861d6e85baec2bc2a646b3e,c628e67174cd79569db2015c4f8d59f3bae4d01ca4f1655f4fd066fa23cadadf,1,0,0,0,0,0,0,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-6ca7c821433e97fe,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,3,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,F902,江苏理工学院,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_partial_source_needs_followup,matched,mismatch,计划数冲突,结构化CSV,1,3e448f69d091900add2540015393d0ce7f9adc8847891e4fac18274c45b490a3,1,945ec322c9f2e61190c95082372cb3f25c6464926d139072c9ece6c7c423c1a0,10,1,1,1,eeafb1981fa3e20da36bdc4a5f252863da325cf884688931e35c820c2d2b0a2c,b3936094e49ae8211844a5e77c5d7654c723fdeca0b31122a5e2f998b064fe71,e5bfc05c6558a4c9ae3af90c580346d862fbb91f7bb51eb6641541365b832cba,10,0,0,0,0,0,0,0,10,10,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-4e2b070b70028ed9,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,4,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,H450,山东工商学院,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_partial_source_needs_followup,matched,mismatch,计划数冲突,结构化CSV,1,70cbe8126ed5235cf1705105f47975e4aba8c6d70930694b9ce12815aa0f45d9,1,55cf82bd0d9890ceccd4634f950b25ea6c07f0ceaab55da717f22ebc68f5d4e2,1,1,1,1,cfcd68f6309b88f619c5eaa42ea708af42a3bb8a800c147553fab7b939e01dae,994cb1e224fd08460d99033cbfbcc52b97241c359231fec94b256392af079c32,5171189c2419c78ac300c9443db947b08eedd65209c30b72ba811d194e7d1e1a,1,0,0,0,0,0,0,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-4de837fe670c4679,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,5,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,H945,南宁学院,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_partial_source_needs_followup,matched,mismatch,计划数冲突,HTML,1,5c147b58e3ed18d52e8964072a104fe375dfe1492a17000a20016a6495166228,1,13fa381f1f1201b99245ee03f2e9e7a784aa307ee4dac4b0f41553f4bbbfc39d,3,1,1,1,2f732fce194355b3bfe03ff555f59c8fdf7374768329c83c3e4d0fd102be21da,7451989ead73becb1cd051cf51edf8272c6c63c52daed8b7f76f87a3a707d859,5c5d15c2ce656a21ea66e70ac4d155fba494753ffe1605c57f06a49a734c0e31,3,0,0,0,0,0,0,0,3,3,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-3e7cb02caf3aeb70,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,6,S0-PDF原页与湖北官方优先闭环,计划数冲突回页核验,00-P0冲突,K153,成都信息工程大学,C0-冲突先核PDF原页和湖北官方系统,00-P0冲突立即核,conflict_review,has_partial_source_needs_followup,matched,mismatch,计划数冲突,HTML,1,cefbdb9f2a6114393d1bc19e5cde97f4c1458123cb45e4266ab4a468c29293ba,1,c9aef6168133f7deb5c8a911eb763ec8a55ae6599e81da1d130fa831bfca8e8b,2,1,1,1,fdb04f88d5dbb08fa2b6d5677565247b62f811e9aab9a2fa58aca7d0cdd28749,d04f58f44470df0f58d3e9735bc982bdf79f24c9405e58df8f3a2b08cff48306,b9342d6daf8972381964186b256a3e566ded9bdbcb655d781e7cd6cd134a3258,2,0,0,0,0,0,0,0,0,2,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,回看第19期PDF原页和湖北官方侧，逐字段判定冲突来源；高校源只作差异提示。
SCHOOLREFRESH-3d80b4e0f3d47e17,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,7,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,A033,中国传媒大学,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,API/JSON,1,620766e230b5cde2d89fe86447f6cfd7391c2dc562430349938c3623be27e584,1,79e5838faa49b52e0fe3035444c1dcdb3a791678605cd63e64273bef4b2af1f4,8,2,1,1,393282950800c22e67a0ec5ed9abc798e1939405253d5abde7b596117dd8e13d,a4ce5c6a4b114fdc698b8be9b9b7c1870d412149303d3f4ea196c586d0721716,2e65f9b489d861853a64fddc185c272266792aaee357bffd4e1e5cf776b3f33c,0,8,0,0,0,0,0,0,0,8,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-095fc3d9660e95b3,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,8,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,A195,兰州大学,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_reusable_2026_hubei_plan_source,matched,ocr_plan_missing_official_available,,API/JSON,1,5ba2db0b95ded4e3a4c8c0b3d41dc63f2e0963b45768f88650949bf424d66280,1,496f2d279b3532bf62b47b5aa2dba9ac62260ca92420c2da9586411471ba1ca8,7,1,1,1,3f07e324254d868d9134b9e158ac942329a531f741e7a997f68d6f6330a4f87f,70f1e26aca2effe1d7dc358857e8c02d5cc936b95e4a7a0d0fee9c543c47229d,00c64120483d1e186171698b0b0efbc22b6f475e905e494dc24a8f73a0f813a3,0,7,0,0,0,0,0,0,0,7,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-523e73514867c6ce,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,9,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,F305,忻州师范学院,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_partial_source_needs_followup,matched,ocr_plan_missing_official_available,,结构化CSV,1,d41eff5d5da9613ab4a97dde2a13fd0dc0cfc68f30364af87b96f773190fe962,1,18a09ad624a3066e4d4218fbcfc2ad38d274cba515d4d4ed7db11b8946cb6239,4,1,1,1,08dc9f70ba4d15bde35ca343821b5fd6f4a15679e9bb024e127f25b396667754,eed6d5154d3941d6a12d410c797f4f2d5f5896c5193b8afc67bf612e99d0c182,2e90e94cbb9fa75fc5ae6a85ff4ee05375880dd78fb781af93f0eebfd0a7d515,0,4,0,0,0,0,0,0,0,4,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
SCHOOLREFRESH-cc22c234269fed50,data/working/issue19-stable-foundation-auto-official-crosscheck-workbench.csv,data/working/issue19-candidate-v3-b0-b1-official-source-seeds.csv,data/working/issue19-official-public-entry-status.json,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_stable_foundation_school_source_refresh_public_ledger,高校×高校侧辅证动作,高校×来源刷新任务,false,false,false,false,false,false,false,false,10,S0-PDF原页与湖北官方优先闭环,官网补缺候选回页核验,01-P0补缺,H001,杭州电子科技大学,C1-官网补缺候选但禁止自动写回,01-P0补缺先核,fill_candidate,has_partial_source_needs_followup,matched,ocr_plan_missing_official_available,,XLS/XLSX,1,115be3ddc3385e261f7847d0eee357bcb99d5866b1ef3989c68db08e5ead740b,1,49a27a0db6f55284970daee361d741f98a49e9d7a07c8178a35d71324bd61e13,1,1,1,1,eabcde9f6c6e9cfda08f40902956921c78e4bda24fa696b8e02ca17d279c8966,282ef437cc4bdec5587a34611e5f9efa14d713542b58ad1b1ddc15b3042cd929,47af8e2abac6677c0c83829c72882db143fba3767e189800c69749963c97135d,0,1,0,0,0,0,0,0,0,1,0,0,0,pending_manual_pdf_review,pending_hubei_official_review,pending_school_source_refresh,pending_school_evidence_refresh_or_review,blocked_until_pdf_hubei_official_review,公开表只保存学校级动作、计数、集合SHA和公开来源相对路径数量；不保存人工字段记录、登录态、截图路径或最终结论。,用高校源定位缺口字段，再回PDF原页和湖北官方侧确认；确认前不得写回。
