结构风险事件ID,来源结构保真登记表,来源单一逐专业招生明细总工作台,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,专业行ID,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组内专业序号,专业代号OCR,专业名称及备注OCR短摘,结构风险类型,结构风险等级,风险来源表,风险来源字段,风险证据摘要,必须人工核PDF原页,必须湖北官方系统或省招办计划核验,机器能否自动修复,公开安全策略,不得进入原因,下一步
STRUCTEVENT-1624773172df9059,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-da44e00e1d67a8a9,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,3,31,理科试验班（财政学与数学创新人才班：数学与应用数学（财政金融学院财政学与数学双学位项目）；财政金融学院（财政学）与数学学院（数学与应用数学）共同培养；办学地点：通州校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-6a80276ee1919c7d,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-772075c4b31e8fe5,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,4,32,理科试验班（经济学与数学创新人才班；数字经济（经济学院经济学与数学双学位项目）：经济学院（经济学）与数学学院（数学与应用数学）共同培养；办学地点：通州校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-79844a95344c421d,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-4f7b04dcf9f3a7a7,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,5,33,大数据管理与应用（数据资源、数据智熊方向：聚焦数据全生命周期管理、智能分析应用等核心方向：依托联合国教科文组织世界记忆项目北京学术中心等科研平台与校企实践基地：办学地点：通州校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-c5911a35fc8d07ed,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-6b0146c36161f5ad,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,6,34,统计学类（数智科学家计划：经济统计学、应用统计学、统计学、数据科学大类中专业任选；办学地点：通州校35（统计学（统计与数科拔尖人才班；办学地点：通州校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-efbd36b1a871aa28,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-8769d011fd6817e0,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,7,36,数学类（智能数学与数据计算卓越计划：数学与应用数学、数据计算及应用：无时点专业选择：学院内专业任选，毕业时认定专业；办学地点：中关村校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-21b388c12ea81d0e,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-2e3add13af354ed1,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,8,37,理科试验班类（严济慈物理学拔尖人才班：物理学；办学地点：中关村校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-cf0501d71fb915ff,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-e6482cf4b2eaaa62,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,9,38,量子信息科学（量子信息科学包括量子计算、通讯、精密测量等；办学地点：中关村校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-7d78d4559dd45d24,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-f08659bd7c5e1c50,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,10,39,计算机类（AI 全栈工程师计划：计算数据科学机科学与技术、信息安全、点大数据技术、信息管理与信息系统、软件工程；无时点专业选择：学院内专业任选，毕业时认定专业；办学地点：中关村校区）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-337726c0b3925ee6,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-ae5f8f4c7caefb14,G-92ccac1fb5b632c6,A002,中国人民大学,A00209,10,right,11,40,计算机类（图灵计算机拔尖人才班智算方向；计算机科学与技术；办学地点：中关村校区）A003 清华大学（公办）（北京）,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
STRUCTEVENT-858d849f37016e77,data/working/issue19-admission-detail-structural-fidelity-register.csv,data/working/issue19-admission-detail-master-workbench.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_structural_risk_major_line_ledger,逐专业招生明细×结构风险事件,false,false,M-fa5ba80e32a8cbbc,G-92189002d14ebac0,A003,清华大学,A00308,11,left,5,15,自动化类（自动化（含信息管理信息系统方向））,唯一组码回退归属,R1-归属或结构异常先核,data/working/issue19-full-admission-plan-major-ocr-draft.csv,专业组标题行号/专业组标题OCR原文,专业明细未精确匹配专业组标题行，仅因同组码唯一而回退归属，需核原页组边界,true,true,false,公开表只保留风险类型、证据摘要和哈希/编号；不保存私有 OCR 原文、图片路径或登录态,结构风险未闭环；确认前不得进入最终志愿排序,回看 PDF 原页的院校专业组边界、专业代号和专业窗口，再用湖北官方系统或省招办计划核验。
