W0B0高校源桥接页列汇总ID,来源W0B0高校源桥接账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,页码版面键,来源页码,版面列,事实数,字段事实数,专业名归属事实数,专业组边界事实数,涉及任务数,涉及院校代码数,高校源桥接桶分布,事实类型分布,可作double_check提示事实数,仍需补源或解析事实数,结构化接入候选事实数,需要双人复核事实数,需要人工看图事实数,高校源进度任务数合计,结构化接入候选数合计,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,页列下一步桥接动作,公开安全策略
W0B0SCHOOLPAGE-9d09fa448802d3c6,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,1,018-left,18,left,13,12,0,1,4,1,B2-已有高校侧结构化或diff线索，待接入到事实项×12；B4-专业组边界或页列事实无单校高校源桥接×1,专业组边界事实×1；字段事实-专业计划数×4；字段事实-再选科目×4；字段事实-学费×4,12,0,0,4,13,36,0,2583a7035f60c804,03a7354c0dd3910e,840bc543dcc720ba,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-39cfc7bcbd00517f,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,2,037-left,37,left,6,3,2,1,3,1,B2-已有高校侧结构化或diff线索，待接入到事实项×3；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×2,专业名归属事实×2；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,0,0,4,4,20,0,aea5eae47b457c20,da5bc6570dd208c0,acbf576b6b2a67d7,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-49dfd962eacfb463,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,3,056-left,56,left,5,3,1,1,2,1,B1-已有结构化接入候选，可作为高校侧double check提示×3；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,0,4,1,4,12,4,b832c558060c3f84,69e4e11ff66c10c7,74b32d5f3a49a83c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-2fe31f8f7c0833de,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,4,135-left,135,left,22,21,0,1,10,1,B2-已有高校侧结构化或diff线索，待接入到事实项×21；B4-专业组边界或页列事实无单校高校源桥接×1,专业组边界事实×1；字段事实-专业计划数×10；字段事实-再选科目×1；字段事实-学费×10,21,0,0,22,21,84,0,b9997a61561ca9b5,4b5c932e832ca2fe,8920ff86c3af081e,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-14b8d8af7e604892,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,5,137-right,137,right,4,3,0,1,1,1,B2-已有高校侧结构化或diff线索，待接入到事实项×3；B4-专业组边界或页列事实无单校高校源桥接×1,专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,0,0,4,3,9,0,cef159c36a36333b,5ca8c98107449f25,67c655f4d9411562,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-670dd8fd3630cdb9,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,6,169-right,169,right,4,2,1,1,2,1,B1-已有结构化接入候选，可作为高校侧double check提示×2；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-学费×1,2,0,3,3,3,15,3,92dfe78ecffddc2c,0b1d5a6279d498e6,e33aa8070796cc4b,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-f236d4d82a7316c1,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,7,199-left,199,left,11,9,1,1,4,1,B2-已有高校侧结构化或diff线索，待接入到事实项×9；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×3；字段事实-再选科目×3；字段事实-学费×3,9,0,0,10,9,40,0,6d2006dd73b09bd4,91b70b81edb34f64,fb61c7c1175189cf,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-5b77311f3134fdd6,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,8,209-right,209,right,10,6,3,1,5,1,B2-已有高校侧结构化或diff线索，待接入到事实项×6；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×3,专业名归属事实×3；专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×2；字段事实-学费×2,6,0,0,7,7,45,0,da191afc6ebcccbf,52448ea1886b75d4,a764f5f65a608731,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-73b0a25fb79c3ba0,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,9,226-left,226,left,5,3,1,1,2,2,B2-已有高校侧结构化或diff线索，待接入到事实项×3；B4-专业组边界或页列事实无单校高校源桥接×1；B5-专业名归属先核PDF原页和湖北官方侧，归属稳定后回接高校源×1,专业名归属事实×1；专业组边界事实×1；字段事实-专业计划数×1；字段事实-再选科目×1；字段事实-学费×1,3,0,0,1,4,8,0,229d65c766c412ad,e917e20553f0fe46,d1c755ba46cca36f,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOLPAGE-9458745b1415558a,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0高校源桥接页列汇总,PDF页码×版面列,false,false,false,false,false,false,false,false,10,226-right,226,right,7,6,0,1,2,1,B2-已有高校侧结构化或diff线索，待接入到事实项×6；B4-专业组边界或页列事实无单校高校源桥接×1,专业组边界事实×1；字段事实-专业计划数×2；字段事实-再选科目×2；字段事实-学费×2,6,0,0,1,7,12,0,57ffc780431fffd7,c85143d94acd5295,640082c04be96da9,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先按页列回看PDF原页和湖北官方侧；对 B1/B2 事实把高校源线索接入私有核验材料。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
