W0B0高校源桥接ID,来源W0B0执行预填公开审计,来源高校源进度看板,来源高校源最新对齐账本,来源高校源结构化接入候选账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,桥接序号,W0B0执行预填明细公开审计ID,W0B0最小人工复核明细ID,第一闭环事实范围缺口公开账本ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,院校代码,事实域,事实类型,事实粒度,字段名,最小复核类型,复核优先级,核验动作层级,候选提示综合桶,PDFOCR与高校辅证关系桶,是否有PDFOCR提示,是否有机器坐标提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,高校源桥接桶,高校源可作double_check提示,高校源仍需补源或解析,高校源进度任务数,高校源最新对齐任务数,结构化接入候选数,最新高校侧证据层级集合,最新证据来源族集合,来源类型桶集合,建议来源形态集合,来源留存状态集合,下一批推进优先级集合,下一批推进动作集合,仍需补源或解析原因集合,next20结构化湖北物理行数合计,live结构化输出记录数合计,C4C6综合结构化官网证据行数合计,C4C6可生成候选diff明细数合计,C4C6计划数一致候选数合计,C4C6官网可补OCR计划数候选数合计,C4C6计划数冲突候选数合计,结构化接入候选来源类型集合,结构化适配器状态集合,候选diff优先级集合,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,下一步桥接动作,公开安全策略
W0B0SCHOOL-6ea57ec7341d5468,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,1,W0B0EXEITEM-e8dc28f399552ec4,W0B0MANITEM-2be5ed86f3f7a406,FIRSTSCOPE-ae07c875846b53ae,,135-left,135,left,,专业组边界,专业组边界事实,PDF页码×版面列×专业组边界,,M0-先核专业组边界,P0,N0-先双人核PDF原页冲突×10,,,true,false,true,false,false,true,B4-专业组边界或页列事实无单校高校源桥接,false,false,0,0,0,,,,,,,,,0,0,0,0,0,0,0,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,先核PDF页列边界或字段记录，再核湖北官方侧；高校源仅作后续补充。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-6418a00ae11096cb,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,2,W0B0EXEITEM-bbe23016ab924ef5,W0B0MANITEM-52b2804d6e94ef75,FIRSTSCOPE-8ab312cd14027fc8,FIRSTDETAIL-0dada9bf9ecaa6e1,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-08cf94d5a12b8d58,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,3,W0B0EXEITEM-94574eb0d886c87e,W0B0MANITEM-ef21a27cc32ce6a4,FIRSTSCOPE-e4964e5da2943b52,FIRSTDETAIL-0e930ca33ab1b3b9,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-ffa8e952e8ca1e97,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,4,W0B0EXEITEM-288daf9fd713b4e1,W0B0MANITEM-2888f92a4afe5ceb,FIRSTSCOPE-8f0a5623d7488bf8,FIRSTDETAIL-202127380ebfe86a,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-30246027dd1acd71,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,5,W0B0EXEITEM-8fa00ffdafedcaa1,W0B0MANITEM-0a4f0e4c6447270a,FIRSTSCOPE-474aa99203156821,FIRSTDETAIL-28da3744d1bbd3b1,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-f686562c5aa3482a,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,6,W0B0EXEITEM-74ddcd22f35b8ffa,W0B0MANITEM-d8b69ea634a97aa3,FIRSTSCOPE-7318dcdb8cb04b0f,FIRSTDETAIL-726fddd63013332a,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-cdc95967b50426bc,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,7,W0B0EXEITEM-77580ff73a16cb7c,W0B0MANITEM-537271ba1db69732,FIRSTSCOPE-4c83bf09deca4cca,FIRSTDETAIL-9008da4b792e2d9c,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-e4bf7352de0cbd29,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,8,W0B0EXEITEM-4dc36ce3bfa3c3e0,W0B0MANITEM-5f104ad1d77c39bd,FIRSTSCOPE-5041b716ac6906b8,FIRSTDETAIL-98835066fcfb9b8c,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-75cfcf8f201513c3,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,9,W0B0EXEITEM-1193ae7f00ba9c08,W0B0MANITEM-c4a20df95ec69798,FIRSTSCOPE-feaf4f2b9ff9a501,FIRSTDETAIL-9d2efbd617a42fa2,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0SCHOOL-f64c3581e3293455,data/working/issue19-stable-foundation-first-closure-w0-b0-execution-prefill-items-public-audit.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_bridge,W0/B0核心事实×高校源桥接状态,事实范围缺口×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,10,W0B0EXEITEM-e116f67a09421be4,W0B0MANITEM-9191028403424660,FIRSTSCOPE-ba2400c007be00aa,FIRSTDETAIL-c38ee9bcbc39ce19,135-left,135,left,F902,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,M1-双人核明确冲突字段,P1,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,true,false,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,false,4,4,0,L3-已有湖北物理结构化或候选diff线索,next20；live；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,已有高校侧线索，缺的是PDF原页、湖北官方侧和人工确认闭环。,60,0,60,8,0,4,4,,,,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把已有高校侧结构化或diff线索接到本事实项；仍需回看PDF原页并核湖北官方侧。,not_final；school_source_bridge_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
