高校源字段回接页列汇总ID,来源高校源字段回接队列,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,页列汇总序号,页码版面键,来源页码,版面列,字段事实数,涉及任务数,涉及院校代码数,字段名分布,回接泳道分布,高校源桥接桶分布,字段事实状态分布,需要双人复核字段数,需要人工看图字段数,存在PDFOCR与高校冲突字段数,结构化接入候选字段数,高校源进度任务数合计,高校源最新对齐任务数合计,事实集合SHA16,任务集合SHA16,院校代码集合SHA16,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,页列回接动作,公开安全策略
W0B0FIELDLINKPAGE-9d09fa448802d3c6,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,1,018-left,18,left,12,4,1,专业计划数×4；再选科目×4；学费×4,R1-B2冲突字段双人核页前回接高校线索×3；R2-B2冲突字段核页提示回接×9,B2-已有高校侧结构化或diff线索，待接入到事实项×12,K0-字段缺口无候选需原页重读×3；K1-字段缺口有候选待PDF原页和官方核验×2；K2-OCR候选存在但三方核验未闭环×7,3,12,12,0,36,36,f3c2d526d7a8e843,03a7354c0dd3910e,840bc543dcc720ba,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-39cfc7bcbd00517f,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,2,037-left,37,left,3,1,1,专业计划数×1；再选科目×1；学费×1,R1-B2冲突字段双人核页前回接高校线索×3,B2-已有高校侧结构化或diff线索，待接入到事实项×3,K2-OCR候选存在但三方核验未闭环×3,3,3,3,0,12,12,3c723f9aa5761a87,4f352aec8b89e507,acbf576b6b2a67d7,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-49dfd962eacfb463,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,3,056-left,56,left,3,1,1,专业计划数×1；再选科目×1；学费×1,R0-B1结构化接入候选优先回接私有核验×3,B1-已有结构化接入候选，可作为高校侧double check提示×3,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,0,3,3,3,9,9,4a67ae8930414c8e,4d7da1ab2555b61f,74b32d5f3a49a83c,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-2fe31f8f7c0833de,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,4,135-left,135,left,21,10,1,专业计划数×10；再选科目×1；学费×10,R1-B2冲突字段双人核页前回接高校线索×21,B2-已有高校侧结构化或diff线索，待接入到事实项×21,K1-字段缺口有候选待PDF原页和官方核验×16；K2-OCR候选存在但三方核验未闭环×5,21,21,21,0,84,84,99de996b96912ec0,4b5c932e832ca2fe,8920ff86c3af081e,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-14b8d8af7e604892,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,5,137-right,137,right,3,1,1,专业计划数×1；再选科目×1；学费×1,R1-B2冲突字段双人核页前回接高校线索×3,B2-已有高校侧结构化或diff线索，待接入到事实项×3,K2-OCR候选存在但三方核验未闭环×3,3,3,3,0,9,9,6cd550d59e11a9c0,5ca8c98107449f25,67c655f4d9411562,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-670dd8fd3630cdb9,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,6,169-right,169,right,2,1,1,专业计划数×1；学费×1,R0-B1结构化接入候选优先回接私有核验×2,B1-已有结构化接入候选，可作为高校侧double check提示×2,K2-OCR候选存在但三方核验未闭环×2,2,2,2,2,10,10,5bfad46b64b3175b,493c0c8594ca2e01,e33aa8070796cc4b,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-f236d4d82a7316c1,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,7,199-left,199,left,9,3,1,专业计划数×3；再选科目×3；学费×3,R1-B2冲突字段双人核页前回接高校线索×9,B2-已有高校侧结构化或diff线索，待接入到事实项×9,K1-字段缺口有候选待PDF原页和官方核验×8；K2-OCR候选存在但三方核验未闭环×1,9,9,9,0,36,36,0eb23320f1ae9134,11e5cdb426d6ab94,fb61c7c1175189cf,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-5b77311f3134fdd6,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,8,209-right,209,right,6,2,1,专业计划数×2；再选科目×2；学费×2,R1-B2冲突字段双人核页前回接高校线索×6,B2-已有高校侧结构化或diff线索，待接入到事实项×6,K1-字段缺口有候选待PDF原页和官方核验×2；K2-OCR候选存在但三方核验未闭环×4,6,6,6,0,30,30,9e3ebf7c02ea40a4,b7095ed1573d7473,a764f5f65a608731,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-73b0a25fb79c3ba0,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,9,226-left,226,left,3,1,1,专业计划数×1；再选科目×1；学费×1,R2-B2冲突字段核页提示回接×3,B2-已有高校侧结构化或diff线索，待接入到事实项×3,K0-字段缺口无候选需原页重读×1；K2-OCR候选存在但三方核验未闭环×2,0,3,3,0,6,6,f0d7b39ef5022c76,847c7c54bd72de36,3b1a31d9118629f3,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINKPAGE-9458745b1415558a,data/working/issue19-w0-b0-school-source-field-backlink-queue-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0高校源字段回接页列汇总,PDF页码×版面列×字段事实,false,false,false,false,false,false,false,false,10,226-right,226,right,6,2,1,专业计划数×2；再选科目×2；学费×2,R2-B2冲突字段核页提示回接×6,B2-已有高校侧结构化或diff线索，待接入到事实项×6,K0-字段缺口无候选需原页重读×2；K2-OCR候选存在但三方核验未闭环×4,0,6,6,0,12,12,b3cb9d8ef4e7ecb1,c85143d94acd5295,640082c04be96da9,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,把本页列高校侧double check线索接入私有核验材料；仍需PDF原页和湖北官方侧闭环。,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
