高校源字段回接队列ID,来源W0B0高校源桥接账本,来源第一闭环字段级公开状态,来源第一闭环事实进度公开账本,来源第一闭环核验结果看板,来源高校源进度看板,来源高校源最新对齐账本,来源高校源结构化接入候选账本,来源期号,来源PDF_SHA256,生成日期,数据阶段,主表粒度,任务粒度,最终可用,可进入下一阶段,可否进入最终志愿方案,是否允许作为志愿推荐依据,是否允许自动写回主表,是否允许官网证据替代湖北官方计划,是否允许生成学校专业建议,是否允许写回字段事实,回接序号,回接泳道,回接批次,回接动作,W0B0高校源桥接ID,第一闭环字段核验状态ID,第一闭环事实进度公开账本ID,第一闭环核验结果ID,第一闭环事实范围缺口公开账本ID,稳定基座第一闭环明细任务ID,页码版面键,来源页码,版面列,院校代码,院校名称公开,事实域,事实类型,事实粒度,字段名,字段事实状态,字段核验优先级,字段事实闭环等级,字段事实阻断等级,字段事实缺口类型,核验动作层级,候选提示综合桶,PDFOCR与高校辅证关系桶,OCR提示状态,高校辅证证据状态,冲突状态,三方闭环状态,是否有PDFOCR提示,是否有高校辅证线索,是否存在PDFOCR与高校冲突,是否需要人工直接看图,是否需要双人复核,高校源桥接桶,高校源可作double_check提示,高校源进度任务数,高校源最新对齐任务数,结构化接入候选数,最新高校侧证据层级集合,最新证据来源族集合,来源类型桶集合,建议来源形态集合,来源留存状态集合,下一批推进优先级集合,下一批推进动作集合,最新公开证据集合SHA16集合,结构化接入候选来源类型集合,结构化适配器状态集合,候选diff优先级集合,本地公开证据文件集合SHA16集合,next20结构化湖北物理行数合计,live结构化输出记录数合计,C4C6综合结构化官网证据行数合计,C4C6可生成候选diff明细数合计,C4C6计划数一致候选数合计,C4C6官网可补OCR计划数候选数合计,C4C6计划数冲突候选数合计,PDF原页核页状态,湖北官方系统或省招办计划核验状态,高校官网源状态,字段事实写回状态,公开安全策略
W0B0FIELDLINK-2c0c747cc3fca60c,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,1,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,把结构化接入候选接入私有核验材料，生成字段级double check提示；仍需PDF原页和湖北官方侧闭环。,W0B0SCHOOL-b5be389968fd45a6,FIRSTFIELDSTATUS-3cc73fa771ddedc6,FCFACTPROG-2c0c747cc3fca60c,FIRSTRESULT-1e5822cb0b79452b,FIRSTSCOPE-26dbc08ec647054c,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,A195,兰州大学,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K0-字段缺口无候选需原页重读,P0-字段无候选原页重读,L3-单字段缺口无候选需重读,Q0-字段缺口无候选阻断,专业计划数,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,true,3,3,1,L3-已有湖北物理结构化或候选diff线索,c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON；公开来源待判定,R0-已有公开来源文件或URL留存,P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。,a6f868f919d65205,API/JSON,existing_json_adapter_needs_schema_check,D1-已有JSON源，优先生成补缺或冲突diff,09e938d32d7e7913,0,0,168,126,0,126,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-66ae8077c229710b,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,2,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,把结构化接入候选接入私有核验材料，生成字段级double check提示；仍需PDF原页和湖北官方侧闭环。,W0B0SCHOOL-dfdf2cac44eb495d,FIRSTFIELDSTATUS-c03940de1bd09f8f,FCFACTPROG-66ae8077c229710b,FIRSTRESULT-1e5822cb0b79452b,FIRSTSCOPE-ca8929a307f0490f,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,A195,兰州大学,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L3-单字段缺口无候选需重读,Q0-字段缺口无候选阻断,专业计划数,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,true,3,3,1,L3-已有湖北物理结构化或候选diff线索,c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON；公开来源待判定,R0-已有公开来源文件或URL留存,P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。,a6f868f919d65205,API/JSON,existing_json_adapter_needs_schema_check,D1-已有JSON源，优先生成补缺或冲突diff,09e938d32d7e7913,0,0,168,126,0,126,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-cd4228bf6dcc0b8f,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,3,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,把结构化接入候选接入私有核验材料，生成字段级double check提示；仍需PDF原页和湖北官方侧闭环。,W0B0SCHOOL-7f3e2aba04b4f22d,FIRSTFIELDSTATUS-5212269d0b22aeb9,FCFACTPROG-cd4228bf6dcc0b8f,FIRSTRESULT-1e5822cb0b79452b,FIRSTSCOPE-2d842f3461ffc01f,FIRSTDETAIL-3fddffa420d16af2,056-left,56,left,A195,兰州大学,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L3-单字段缺口无候选需重读,Q0-字段缺口无候选阻断,专业计划数,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,false,B1-已有结构化接入候选，可作为高校侧double check提示,true,3,3,1,L3-已有湖北物理结构化或候选diff线索,c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON；公开来源待判定,R0-已有公开来源文件或URL留存,P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。,a6f868f919d65205,API/JSON,existing_json_adapter_needs_schema_check,D1-已有JSON源，优先生成补缺或冲突diff,09e938d32d7e7913,0,0,168,126,0,126,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-ea07e27ca176920b,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,4,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,把结构化接入候选接入私有核验材料，生成字段级double check提示；仍需PDF原页和湖北官方侧闭环。,W0B0SCHOOL-9d5e33c5734f6327,FIRSTFIELDSTATUS-12a5314ded955045,FCFACTPROG-ea07e27ca176920b,FIRSTRESULT-446eb854f1828d59,FIRSTSCOPE-62ccfce4b25095f3,FIRSTDETAIL-8991edc6731114ee,169-right,169,right,H450,山东工商学院,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,再选科目,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B1-已有结构化接入候选，可作为高校侧double check提示,true,5,5,1,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,PDF,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,880daf4540a572fb,PDF抽取CSV,existing_pdf_csv_adapter_needs_table_rule_patch,D0-PDF源冲突和未匹配优先,560c96b2fb711898,240,0,120,40,25,5,10,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-5f15df6499fa0f4a,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,5,R0-B1结构化接入候选优先回接私有核验,BACKLINK-01-结构化候选优先,把结构化接入候选接入私有核验材料，生成字段级double check提示；仍需PDF原页和湖北官方侧闭环。,W0B0SCHOOL-6a2336df9ccafa47,FIRSTFIELDSTATUS-fbce540af1c5a95e,FCFACTPROG-5f15df6499fa0f4a,FIRSTRESULT-446eb854f1828d59,FIRSTSCOPE-44d036899a25b9d5,FIRSTDETAIL-8991edc6731114ee,169-right,169,right,H450,山东工商学院,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,再选科目,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B1-已有结构化接入候选，可作为高校侧double check提示,true,5,5,1,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,PDF,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧,整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,880daf4540a572fb,PDF抽取CSV,existing_pdf_csv_adapter_needs_table_rule_patch,D0-PDF源冲突和未匹配优先,560c96b2fb711898,240,0,120,40,25,5,10,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-87173c962903e15b,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,6,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,把高校侧结构化或diff线索接到字段事实项，供双人回看PDF原页和湖北官方侧时定位冲突。,W0B0SCHOOL-7d43e755e8d8c936,FIRSTFIELDSTATUS-8ab94248db9b730f,FCFACTPROG-87173c962903e15b,FIRSTRESULT-e75f529fa30e4df4,FIRSTSCOPE-3b1d59c3184b4139,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,A033,中国传媒大学,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,再选科目,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,3,3,0,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,b0830e7ae227d08b,,,,,42,0,42,15,9,6,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-62315315fc0e0d52,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,7,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,把高校侧结构化或diff线索接到字段事实项，供双人回看PDF原页和湖北官方侧时定位冲突。,W0B0SCHOOL-082771132da15dbe,FIRSTFIELDSTATUS-cf8dcb11b7937f5a,FCFACTPROG-62315315fc0e0d52,FIRSTRESULT-e75f529fa30e4df4,FIRSTSCOPE-f2757af9ab482a10,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,A033,中国传媒大学,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K1-字段缺口有候选待PDF原页和官方核验,P1-字段有候选回看原页和官方,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,再选科目,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,3,3,0,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,b0830e7ae227d08b,,,,,42,0,42,15,9,6,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-cc02dc5253db7016,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,8,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,把高校侧结构化或diff线索接到字段事实项，供双人回看PDF原页和湖北官方侧时定位冲突。,W0B0SCHOOL-718f6102cf23f03a,FIRSTFIELDSTATUS-7b698eab33ca3b53,FCFACTPROG-cc02dc5253db7016,FIRSTRESULT-e75f529fa30e4df4,FIRSTSCOPE-a611ef86b4894675,FIRSTDETAIL-6e2d3b4c7f4c6ceb,018-left,18,left,A033,中国传媒大学,字段事实,字段事实-学费,第一闭环任务×字段,学费,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L2-单字段缺口有候选待核,Q1-字段缺口有候选待人工核验,再选科目,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,3,3,0,L3-已有湖北物理结构化或候选diff线索,next20；c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,b0830e7ae227d08b,,,,,42,0,42,15,9,6,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-b17bb39b15241f40,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,9,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,把高校侧结构化或diff线索接到字段事实项，供双人回看PDF原页和湖北官方侧时定位冲突。,W0B0SCHOOL-fa06e79b6596965e,FIRSTFIELDSTATUS-2630ccecf00dee30,FCFACTPROG-b17bb39b15241f40,FIRSTRESULT-308522561e8f3c3e,FIRSTSCOPE-9305cdd26a137920,FIRSTDETAIL-a19646da8920400b,037-left,37,left,A135,山东大学,字段事实,字段事实-专业计划数,第一闭环任务×字段,专业计划数,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L4-三字段OCR齐全但待三方闭环,Q2-OCR字段齐全但PDF和官方未闭环,无机器字段缺口,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,4,4,0,L3-已有湖北物理结构化或候选diff线索,c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON；公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,56a73fe94c5eb95a,,,,,0,0,96,40,12,28,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
W0B0FIELDLINK-1e2824f7e156b6c2,data/working/issue19-w0-b0-school-source-bridge-public-ledger.csv,data/working/issue19-first-closure-field-verification-status-public-ledger.csv,data/working/issue19-first-closure-fact-progress-public-ledger.csv,data/working/issue19-first-closure-verification-result-public-ledger.csv,data/working/issue19-school-source-progress-board-public-ledger.csv,data/working/issue19-school-source-latest-reconciliation-public-ledger.csv,data/working/issue19-school-source-structured-ingestion-candidates-public-ledger.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,2026-06-29,issue19_w0_b0_school_source_field_backlink_queue,W0/B0字段事实×高校源double check回接队列,字段事实×院校代码×高校侧证据层级,false,false,false,false,false,false,false,false,10,R1-B2冲突字段双人核页前回接高校线索,BACKLINK-02-双人复核冲突优先,把高校侧结构化或diff线索接到字段事实项，供双人回看PDF原页和湖北官方侧时定位冲突。,W0B0SCHOOL-248ac1c135890b15,FIRSTFIELDSTATUS-aec3a53ca1f8a7da,FCFACTPROG-1e2824f7e156b6c2,FIRSTRESULT-308522561e8f3c3e,FIRSTSCOPE-5aeca1ef4693b9c9,FIRSTDETAIL-a19646da8920400b,037-left,37,left,A135,山东大学,字段事实,字段事实-再选科目,第一闭环任务×字段,再选科目,K2-OCR候选存在但三方核验未闭环,P3-OCR齐全字段三方闭环,L4-三字段OCR齐全但待三方闭环,Q2-OCR字段齐全但PDF和官方未闭环,无机器字段缺口,N0-先双人核PDF原页冲突,H0-PDFOCR与高校辅证冲突,R0-PDFOCR与高校辅证存在冲突,O0-PDFOCR与高校辅证冲突,S1-有高校辅证线索或自动官网任务，待私有辅证记录,C0-PDFOCR与高校辅证冲突，必须回PDF原页和湖北官方侧,pending_private_three_way_field_confirmation,true,true,true,true,true,B2-已有高校侧结构化或diff线索，待接入到事实项,true,4,4,0,L3-已有湖北物理结构化或候选diff线索,c4c6_reuse；c4c6_diff,F0-已有结构化或候选diff线索,API/JSON；公开来源待判定,R0-已有公开来源文件或URL留存,P0-冲突优先回PDF原页和湖北官方侧；P1-官网补缺线索回页,把高校补缺线索作为定位提示，回PDF原页补候选，再核湖北官方侧。；整理计划数冲突线索，回第19期PDF原页和湖北官方侧逐项核验。,56a73fe94c5eb95a,,,,,0,0,96,40,12,28,0,pending_pdf_page_review,pending_hubei_official_plan_review,for_double_check_only_not_official_plan_replacement,blocked_until_pdf_hubei_school_three_way_closure,not_final；field_backlink_queue_only；no_field_values；no_private_paths；no_ocr_text；no_recommendation
