0明细占位ID,来源全量专业组OCR初稿,来源期号,来源PDF_SHA256,数据阶段,主表粒度,最终可用,可进入下一阶段,专业组出现ID,院校代码,院校名称OCR,院校专业组代码OCR规范化,来源页码,版面列,专业组标题行号,专业组标题OCR原文,OCR专业行数,是否缺失专业明细,是否真实招生明细,是否0明细占位,占位风险类型,缺失明细风险说明,是否可作为招生明细行,必须人工核PDF原页,必须湖北官方系统或省招办计划核验,机器能否自动补齐专业明细,下一步
ZERODETAIL-8b8c3ddbfe0d8128,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-ad0cc5af1d4e8f4d,A004,北京交通大学,A00405,11,left,43,A00405 北京交通大学第05组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-809bd369243add3f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-34938058b454e9d0,A004,北京交通大学,A00410,11,right,169,A00410 北京交通大学第10组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-c8005ac3b1450297,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-b0e80be47ec71311,A147,武汉理工大学,A14707,41,left,56,A14707武汉理工大学第07组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-87ba00914365f26f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-b980d8fb8180a044,A149,华中农业大学,A14907,42,right,171,A14907华中农业大学第07组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-472e7bce4c8ea8eb,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-125e08d98b9fb9bf,A177,西南大学,A17724,50,right,181,A17724/西南大学第24组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-4ce490195d87a45a,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-6e68a814a5c80c76,A195,兰州大学,A19508,56,left,51,A19508兰州大学第08组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-4428ec9357a0b8a8,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-4f9381c78557cfac,C108,江汉大学,C10810,69,right,242,C10810江汉大学第 10组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-6bf00e5ad4540d2f,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-38ffd17a9d2536e9,C116,湖北科技学院,C11614,72,right,208,C11614湖北科技学院第 14组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-b599ca81a0531d39,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-4080ddd83109b923,C129,湖北民族大学,C12924,76,left,50,CI2924|湖北民族大学第24 组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
ZERODETAIL-83174d6d688dd227,data/working/issue19-full-admission-plan-group-ocr-draft.csv,湖北招生考试2026年19期·本科普通批（下）,ee61fc69389f24a9a7830167113cf0ddc0447f8fa4b2743cd3241be60a9bd86d,issue19_missing_major_detail_group_remediation,专业明细缺失专业组占位,false,false,G-c7bf87db294e3228,C215,武昌理工学院,C21512,86,right,219,C21512 武昌理工学院第 12组,0,true,false,true,group_without_major_details,该专业组当前没有可下沉到逐专业表的招生明细，必须回看原页补齐后才能讨论调剂或专业接受度。,false,true,true,false,回看 PDF 原页和湖北官方系统；补齐真实招生专业明细后再进入逐专业总工作台。
