教育部名单行ID,来源教育部页面URL,来源教育部附件URL,教育部名单发布日期,教育部名单截至日期,序号,省份分组,学校名称,学校标识码,主管部门,所在地,办学层次,备注,名单层级,学校名称规范键
MOESCHOOL-c1bb873eb184e42c,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,1,北京市,北京大学,4111010001,教育部,北京市,本科,,全国普通高等学校名单,北京大学
MOESCHOOL-6f016c46cef04793,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,2,北京市,中国人民大学,4111010002,教育部,北京市,本科,,全国普通高等学校名单,中国人民大学
MOESCHOOL-701a0ababe600d53,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,3,北京市,清华大学,4111010003,教育部,北京市,本科,,全国普通高等学校名单,清华大学
MOESCHOOL-29138daa3412eda2,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,4,北京市,北京交通大学,4111010004,教育部,北京市,本科,,全国普通高等学校名单,北京交通大学
MOESCHOOL-43d5c31774c508a3,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,5,北京市,北京工业大学,4111010005,北京市,北京市,本科,,全国普通高等学校名单,北京工业大学
MOESCHOOL-d86949457c4cf577,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,6,北京市,北京航空航天大学,4111010006,工业和信息化部,北京市,本科,,全国普通高等学校名单,北京航空航天大学
MOESCHOOL-06d9f7f33e06840e,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,7,北京市,北京理工大学,4111010007,工业和信息化部,北京市,本科,,全国普通高等学校名单,北京理工大学
MOESCHOOL-5107a19507fc2a4d,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,8,北京市,北京科技大学,4111010008,教育部,北京市,本科,,全国普通高等学校名单,北京科技大学
MOESCHOOL-c80cc73d68af6d72,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,9,北京市,北方工业大学,4111010009,北京市,北京市,本科,,全国普通高等学校名单,北方工业大学
MOESCHOOL-3573b44ea259be16,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,10,北京市,北京化工大学,4111010010,教育部,北京市,本科,,全国普通高等学校名单,北京化工大学
MOESCHOOL-f47815360d5d3260,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,11,北京市,北京工商大学,4111010011,北京市,北京市,本科,,全国普通高等学校名单,北京工商大学
MOESCHOOL-087f89243f1739db,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,12,北京市,北京服装学院,4111010012,北京市,北京市,本科,,全国普通高等学校名单,北京服装学院
MOESCHOOL-3903b149988315d3,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/t20250627_1195683.html,https://www.moe.gov.cn/jyb_xxgk/s5743/s5744/202506/W020250729615142156867.xls,2025-06-27,2025-06-20,13,北京市,北京邮电大学,4111010013,教育部,北京市,本科,,全国普通高等学校名单,北京邮电大学
